period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2013H2,68000,桃園,18392,2,桃園/新竹縣,4347,3777,0.716667,0.542759,0.163015,0.163799,0.161102,0.044806,0.361402,18.235581
2013H2,65000,新北,7015,1,新北/宜蘭,4290,1537,0.021429,0.494007,0.131618,0.054304,0.190096,0.039392,0.396994,18.201936
2013H2,10004,新竹縣,15509,2,桃園/新竹縣,3956,3348,0.161905,0.485643,0.124318,0.128953,0.187664,0.038404,0.377898,18.823678
2013H2,66000,臺中,8437,0,臺中/苗栗,2617,2341,0.309524,0.240196,0.093315,0.061527,0.085697,0.035162,0.332125,18.42838
2013H2,10005,苗栗,6091,0,臺中/苗栗,1728,1474,0.0,0.209394,0.067831,0.05414,0.059866,0.028029,0.435785,16.867224
2013H2,10002,宜蘭,11840,1,新北/宜蘭,1553,2695,0.254762,0.186909,0.064045,0.103935,0.057543,0.033071,0.40142,17.691404
2013H2,63000,臺北,2385,1,新北/宜蘭,1531,2291,0.0,0.200116,0.063218,0.115841,0.05811,0.029202,0.464023,17.666357
2013H2,10008,南投,6160,0,臺中/苗栗,970,2034,0.0,0.108003,0.045429,0.068461,0.030602,0.027016,0.426434,16.66509
2013H2,64000,高雄,1289,0,臺中/苗栗,832,429,0.0,0.091328,0.037081,0.01413,0.031274,0.016724,0.368655,16.420262
2013H2,10015,花蓮,2689,1,新北/宜蘭,776,2198,0.047619,0.093353,0.034744,0.077936,0.030294,0.027687,0.399049,17.463932
2013H2,10018,新竹市,1056,2,桃園/新竹縣,684,1931,0.0,0.116613,0.029619,0.112751,0.032054,0.020563,0.776138,16.584801
2013H2,67000,臺南,592,0,臺中/苗栗,366,160,0.047619,0.041272,0.021612,0.005307,0.013405,0.012331,0.366667,15.347252
2013H2,10017,基隆,576,1,新北/宜蘭,343,301,0.0,0.039851,0.017054,0.012059,0.014212,0.016911,0.436544,13.359852
2013H2,10013,屏東,380,0,臺中/苗栗,269,185,0.0,0.031988,0.016915,0.006473,0.009934,0.010997,0.394709,16.369924
2013H2,10014,臺東,422,1,新北/宜蘭,266,152,0.0,0.030547,0.015256,0.005305,0.010086,0.01428,0.391754,12.388324
2013H2,10007,彰化,415,0,臺中/苗栗,260,186,0.0,0.026022,0.015076,0.005891,0.008641,0.00936,0.422213,16.511636
2013H2,10009,雲林,262,0,臺中/苗栗,177,98,0.0,0.017228,0.012449,0.003842,0.006132,0.009424,0.379943,13.444056
2013H2,10010,嘉義縣,185,0,臺中/苗栗,169,61,0.0,0.016815,0.013622,0.001999,0.005383,0.008479,0.348488,12.66698
2013H2,09020,金門,96,0,臺中/苗栗,91,7,0.0,0.010872,0.01002,0.000172,0.003504,0.005967,0.376455,13.472829
2013H2,10016,澎湖,54,0,臺中/苗栗,41,33,0.0,0.005036,0.00805,0.001109,0.001698,0.007299,0.391001,9.594679
2013H2,10020,嘉義市,63,0,臺中/苗栗,40,88,0.0,0.004771,0.008274,0.001823,0.001576,0.005467,0.34962,11.988026
2013H2,09007,連江,24,1,新北/宜蘭,24,4,0.0,0.00311,0.00744,0.000243,0.001125,0.009159,0.514125,4.115634
