period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2014H2,68000,桃園,18569,2,桃園/新竹縣,4324,3931,0.754762,0.536969,0.162348,0.176261,0.148301,0.042886,0.358726,18.241465
2014H2,65000,新北,7114,1,新北/宜蘭,4295,1576,0.021429,0.489525,0.131085,0.053958,0.185169,0.035678,0.39679,18.205039
2014H2,10004,新竹縣,15723,2,桃園/新竹縣,4116,3305,0.161905,0.495014,0.124037,0.117608,0.21068,0.03644,0.378612,18.855987
2014H2,66000,臺中,8483,0,臺中/苗栗,2608,2395,0.27381,0.234799,0.091715,0.061565,0.081747,0.033526,0.33016,18.437958
2014H2,10005,苗栗,6161,0,臺中/苗栗,1765,1461,0.0,0.210236,0.067105,0.051628,0.060265,0.026627,0.434851,16.889061
2014H2,10002,宜蘭,12175,1,新北/宜蘭,1625,2668,0.254762,0.194858,0.065632,0.097342,0.059892,0.031669,0.399291,17.717344
2014H2,63000,臺北,2454,1,新北/宜蘭,1554,2330,0.0,0.200097,0.064326,0.113032,0.056098,0.026801,0.460704,17.678245
2014H2,10008,南投,6038,0,臺中/苗栗,984,2008,0.0,0.106453,0.045292,0.065096,0.030324,0.02546,0.427672,16.681516
2014H2,64000,高雄,1317,0,臺中/苗栗,846,446,0.0,0.094391,0.03693,0.014241,0.031992,0.016007,0.370705,16.45383
2014H2,10015,花蓮,2653,1,新北/宜蘭,767,2178,0.047619,0.092283,0.033988,0.073705,0.029281,0.025989,0.400204,17.475334
2014H2,10018,新竹市,1106,2,桃園/新竹縣,706,2062,0.0,0.118523,0.030402,0.130873,0.030632,0.02035,0.769321,16.579456
2014H2,67000,臺南,604,0,臺中/苗栗,364,166,0.047619,0.041364,0.021345,0.005417,0.013379,0.011343,0.369017,15.388889
2014H2,10017,基隆,576,1,新北/宜蘭,329,314,0.0,0.039575,0.016814,0.012114,0.013263,0.01707,0.436289,12.405919
2014H2,10013,屏東,415,0,臺中/苗栗,292,185,0.0,0.033914,0.017308,0.00653,0.010481,0.010674,0.392871,16.399069
2014H2,10014,臺東,443,1,新北/宜蘭,278,160,0.0,0.030955,0.015455,0.005439,0.010162,0.014823,0.396317,11.36811
2014H2,10007,彰化,403,0,臺中/苗栗,245,197,0.0,0.024424,0.014721,0.006087,0.007831,0.010106,0.430369,15.533513
2014H2,10009,雲林,286,0,臺中/苗栗,198,101,0.0,0.019466,0.013154,0.00368,0.006705,0.008956,0.375688,13.476566
2014H2,10010,嘉義縣,187,0,臺中/苗栗,170,65,0.0,0.016545,0.013586,0.002005,0.00521,0.007755,0.344615,13.630743
2014H2,09020,金門,101,2,桃園/新竹縣,97,7,0.0,0.011915,0.010206,0.000172,0.003877,0.005834,0.387815,13.554503
2014H2,10016,澎湖,58,0,臺中/苗栗,44,34,0.0,0.005245,0.008179,0.001089,0.001689,0.007254,0.378607,8.758766
2014H2,10020,嘉義市,62,0,臺中/苗栗,40,90,0.0,0.004086,0.00855,0.001928,0.001342,0.005428,0.353843,11.001729
2014H2,09007,連江,36,1,新北/宜蘭,36,4,0.0,0.005142,0.007823,0.000228,0.001679,0.009926,0.519159,4.211193
