period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2015H1,68000,桃園,18701,2,桃園/新竹縣,4361,3974,0.714286,0.537244,0.162504,0.179032,0.14444,0.041801,0.358144,18.250254
2015H1,65000,新北,7190,1,新北/宜蘭,4316,1631,0.02381,0.486883,0.130125,0.054679,0.183051,0.036649,0.396778,18.217296
2015H1,10004,新竹縣,15792,2,桃園/新竹縣,4204,3310,0.161905,0.496951,0.123564,0.11347,0.219743,0.035474,0.377692,18.870221
2015H1,66000,臺中,8537,0,臺中/苗栗,2615,2451,0.314286,0.233382,0.092113,0.062524,0.079093,0.032638,0.32909,18.457483
2015H1,10005,苗栗,6208,0,臺中/苗栗,1821,1470,0.0,0.21358,0.067656,0.051096,0.061614,0.02592,0.437329,16.928866
2015H1,10002,宜蘭,12259,1,新北/宜蘭,1621,2707,0.214286,0.191341,0.064784,0.095594,0.058394,0.030779,0.398199,17.741649
2015H1,63000,臺北,2505,1,新北/宜蘭,1582,2372,0.0,0.200704,0.064175,0.112475,0.055777,0.026239,0.460519,17.694329
2015H1,10008,南投,6010,0,臺中/苗栗,979,1990,0.0,0.105278,0.044462,0.062254,0.030098,0.023298,0.428904,17.700988
2015H1,64000,高雄,1367,0,臺中/苗栗,880,456,0.0,0.097541,0.037822,0.014104,0.032678,0.015864,0.369008,16.462032
2015H1,10015,花蓮,2680,1,新北/宜蘭,787,2150,0.009524,0.09427,0.033929,0.070655,0.029944,0.025143,0.402659,17.473737
2015H1,10018,新竹市,1112,2,桃園/新竹縣,706,2142,0.0,0.117724,0.030344,0.139241,0.029695,0.018055,0.770522,16.591607
2015H1,67000,臺南,623,0,臺中/苗栗,373,171,0.047619,0.040877,0.021722,0.005541,0.013101,0.010714,0.36357,15.400871
2015H1,10017,基隆,602,1,新北/宜蘭,342,322,0.0,0.040637,0.017044,0.0122,0.01355,0.016795,0.437952,12.413978
2015H1,10013,屏東,439,0,臺中/苗栗,304,185,0.0,0.035445,0.017845,0.006353,0.010708,0.010141,0.38954,16.417332
2015H1,10014,臺東,450,1,新北/宜蘭,283,166,0.0,0.030692,0.015631,0.00542,0.009995,0.013096,0.390953,12.33906
2015H1,10007,彰化,407,0,臺中/苗栗,251,204,0.0,0.025193,0.015066,0.006077,0.00778,0.010271,0.424785,15.547599
2015H1,10009,雲林,288,0,臺中/苗栗,199,103,0.0,0.020009,0.013081,0.00371,0.006729,0.008747,0.375839,13.510762
2015H1,10010,嘉義縣,178,0,臺中/苗栗,160,70,0.0,0.015705,0.013185,0.002055,0.004849,0.00763,0.342224,12.589263
2015H1,09020,金門,108,2,桃園/新竹縣,103,7,0.0,0.012715,0.010407,0.000171,0.004119,0.005767,0.39245,13.535833
2015H1,10016,澎湖,59,0,臺中/苗栗,45,36,0.0,0.005311,0.008208,0.001153,0.001667,0.007158,0.381298,8.731437
2015H1,10020,嘉義市,63,0,臺中/苗栗,41,89,0.0,0.004071,0.008545,0.001975,0.001308,0.005478,0.34286,11.051714
2015H1,09007,連江,37,1,新北/宜蘭,37,4,0.0,0.005012,0.007789,0.000221,0.001666,0.008894,0.505537,5.081092
