period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2022H1,68000,桃園,21719,2,桃園/新竹縣,5364,4160,0.77619,0.572186,0.173121,0.176806,0.141594,0.033509,0.351634,18.220047
2022H1,10004,新竹縣,16219,2,桃園/新竹縣,5062,3661,0.147619,0.502616,0.11993,0.093963,0.304227,0.027384,0.379315,18.947063
2022H1,65000,新北,7729,1,新北/宜蘭,4386,2137,0.054762,0.445949,0.124076,0.062823,0.146825,0.025862,0.404846,18.153397
2022H1,66000,臺中,9413,0,臺中/苗栗,2782,2851,0.235714,0.22622,0.091667,0.060523,0.064869,0.024711,0.322808,18.392431
2022H1,10005,苗栗,6209,0,臺中/苗栗,1956,1589,0.0,0.199767,0.062509,0.04717,0.058625,0.01879,0.436276,17.823079
2022H1,10002,宜蘭,13512,1,新北/宜蘭,1868,2954,0.107143,0.196239,0.066238,0.079786,0.054054,0.024126,0.398666,17.788176
2022H1,63000,臺北,2958,1,新北/宜蘭,1755,2789,0.0,0.200272,0.063576,0.098387,0.049563,0.020733,0.463594,17.718276
2022H1,10008,南投,5814,0,臺中/苗栗,1133,2001,0.0,0.110897,0.043674,0.047221,0.029839,0.017796,0.430632,17.592922
2022H1,10015,花蓮,2705,1,新北/宜蘭,910,1932,0.0,0.097735,0.034332,0.048555,0.028495,0.017526,0.409795,17.3801
2022H1,64000,高雄,1509,0,臺中/苗栗,858,567,0.0,0.084628,0.036783,0.015296,0.024383,0.011096,0.362334,17.402705
2022H1,10018,新竹市,1358,2,桃園/新竹縣,797,3091,0.033333,0.12039,0.031738,0.226175,0.025457,0.013371,0.786324,17.630472
2022H1,67000,臺南,717,0,臺中/苗栗,409,229,0.0,0.040483,0.020163,0.005874,0.011284,0.008887,0.360119,14.313467
2022H1,10017,基隆,702,1,新北/宜蘭,400,353,0.0,0.043339,0.017604,0.010495,0.012984,0.010405,0.434999,15.391817
2022H1,10013,屏東,514,0,臺中/苗栗,341,206,0.0,0.036556,0.017624,0.005841,0.010039,0.007624,0.384744,16.30105
2022H1,10014,臺東,535,0,臺中/苗栗,330,194,0.0,0.034581,0.016408,0.004964,0.009983,0.008964,0.386993,14.281196
2022H1,10007,彰化,537,0,臺中/苗栗,319,257,0.0,0.029822,0.016028,0.005905,0.008321,0.007529,0.414929,16.432203
2022H1,10009,雲林,325,0,臺中/苗栗,229,140,0.0,0.020618,0.013692,0.004065,0.006144,0.006558,0.375886,14.460153
2022H1,10010,嘉義縣,213,0,臺中/苗栗,187,92,0.0,0.016435,0.01367,0.001957,0.004423,0.00554,0.341523,12.485766
2022H1,09020,金門,133,0,臺中/苗栗,121,10,0.0,0.012338,0.010499,0.00027,0.003968,0.004585,0.37423,12.62349
2022H1,10016,澎湖,99,0,臺中/苗栗,77,45,0.0,0.008683,0.009246,0.001279,0.002275,0.005472,0.39603,10.471128
2022H1,10020,嘉義市,93,0,臺中/苗栗,61,119,0.0,0.005123,0.009623,0.002467,0.001437,0.00382,0.360437,13.00185
2022H1,09007,連江,38,1,新北/宜蘭,38,6,0.0,0.003951,0.007797,0.000176,0.001212,0.004069,0.397458,8.619504
