period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2013H1,68000,桃園,18297,2,桃園/新竹縣,4318,3704,0.728571,0.545667,0.163918,0.161156,0.164126,0.045684,0.361508,18.225579
2013H1,65000,新北,6886,1,新北/宜蘭,4206,1490,0.0,0.49096,0.130158,0.05414,0.189614,0.039845,0.398338,18.180703
2013H1,10004,新竹縣,15465,2,桃園/新竹縣,3880,3313,0.2,0.486459,0.124764,0.13121,0.182845,0.039112,0.378585,18.811251
2013H1,66000,臺中,8357,0,臺中/苗栗,2598,2330,0.216667,0.240162,0.093433,0.062454,0.086553,0.036031,0.33154,18.425678
2013H1,10005,苗栗,6096,0,臺中/苗栗,1728,1455,0.0,0.212505,0.068782,0.054147,0.060839,0.028729,0.435441,16.860555
2013H1,10002,宜蘭,11782,1,新北/宜蘭,1533,2643,0.27381,0.185438,0.063752,0.103823,0.057506,0.033519,0.400431,17.661704
2013H1,63000,臺北,2325,1,新北/宜蘭,1491,2270,0.0,0.195784,0.061766,0.116861,0.057733,0.029655,0.462386,17.652305
2013H1,10008,南投,6170,0,臺中/苗栗,957,2045,0.0,0.10862,0.04547,0.069795,0.0307,0.027775,0.424998,16.650648
2013H1,64000,高雄,1271,0,臺中/苗栗,831,424,0.0,0.090565,0.037423,0.014167,0.031314,0.017138,0.366782,16.403972
2013H1,10015,花蓮,2692,1,新北/宜蘭,761,2211,0.047619,0.092206,0.034623,0.079688,0.030071,0.028449,0.396187,17.443524
2013H1,10018,新竹市,1042,2,桃園/新竹縣,675,1869,0.0,0.117173,0.029776,0.108605,0.032395,0.020796,0.779508,16.582492
2013H1,67000,臺南,572,0,臺中/苗栗,360,149,0.047619,0.040858,0.021311,0.004973,0.013473,0.012244,0.366819,15.323887
2013H1,10017,基隆,567,1,新北/宜蘭,344,303,0.0,0.041208,0.01724,0.011965,0.01458,0.017683,0.429243,13.350316
2013H1,10013,屏東,388,0,臺中/苗栗,275,184,0.0,0.032899,0.017411,0.006607,0.010125,0.010969,0.390138,16.34052
2013H1,10007,彰化,418,0,臺中/苗栗,263,186,0.0,0.026486,0.015295,0.006169,0.008866,0.009642,0.425743,16.507491
2013H1,10014,臺東,410,1,新北/宜蘭,261,148,0.0,0.0296,0.015171,0.005243,0.009928,0.014454,0.38973,12.331638
2013H1,10009,雲林,260,0,臺中/苗栗,175,94,0.0,0.017021,0.012414,0.003523,0.006134,0.009141,0.376151,13.389607
2013H1,10010,嘉義縣,185,0,臺中/苗栗,171,62,0.0,0.017089,0.013758,0.002065,0.005537,0.008819,0.346246,12.675022
2013H1,09020,金門,87,0,臺中/苗栗,82,7,0.0,0.010444,0.009727,0.000174,0.003317,0.005768,0.385879,13.458242
2013H1,10020,嘉義市,63,0,臺中/苗栗,40,88,0.0,0.004991,0.008305,0.001857,0.001626,0.005653,0.35087,11.893128
2013H1,10016,澎湖,49,0,臺中/苗栗,39,33,0.0,0.004909,0.008063,0.00113,0.00159,0.007479,0.389721,9.575009
2013H1,09007,連江,24,1,新北/宜蘭,24,4,0.0,0.003131,0.007443,0.000249,0.001128,0.00948,0.502458,4.134982
