period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2017H1,68000,桃園,19216,1,桃園/新竹縣,4719,3827,0.745238,0.558467,0.168918,0.168879,0.152976,0.037971,0.357528,18.24698
2017H1,10004,新竹縣,15871,1,桃園/新竹縣,4415,3410,0.159524,0.498579,0.124486,0.113011,0.240264,0.031891,0.376724,18.916664
2017H1,65000,新北,7237,2,新北/臺北,4210,1762,0.030952,0.467192,0.128665,0.059198,0.168578,0.031194,0.400475,18.181863
2017H1,66000,臺中,8799,0,臺中/苗栗,2648,2515,0.247619,0.228821,0.090458,0.062068,0.075536,0.02954,0.327803,18.417719
2017H1,10005,苗栗,6170,0,臺中/苗栗,1827,1527,0.0,0.208635,0.065941,0.051757,0.061219,0.023334,0.437741,16.906298
2017H1,63000,臺北,2731,2,新北/臺北,1685,2461,0.0,0.20726,0.0661,0.108171,0.056937,0.023928,0.460208,17.741409
2017H1,10002,宜蘭,12532,2,新北/臺北,1616,2778,0.111905,0.187478,0.063247,0.091698,0.055302,0.027516,0.399546,17.786741
2017H1,10008,南投,5928,0,臺中/苗栗,1023,1991,0.0,0.107244,0.044237,0.058535,0.03075,0.021069,0.426451,17.663782
2017H1,10015,花蓮,2675,2,新北/臺北,798,2055,0.0,0.092234,0.033174,0.063575,0.029037,0.02103,0.403719,17.428197
2017H1,64000,高雄,1306,0,臺中/苗栗,767,481,0.0,0.079232,0.033661,0.014454,0.025128,0.013716,0.359766,16.411222
2017H1,10018,新竹市,1181,1,桃園/新竹縣,720,2394,0.047619,0.118216,0.032527,0.163031,0.029432,0.014718,0.791801,17.623677
2017H1,10017,基隆,641,2,新北/臺北,364,317,0.0,0.042275,0.017538,0.011252,0.01383,0.013408,0.43559,14.353173
2017H1,67000,臺南,608,0,臺中/苗栗,352,204,0.0,0.037325,0.018525,0.006302,0.011536,0.010686,0.361125,14.344412
2017H1,10014,臺東,477,2,新北/臺北,295,178,0.0,0.031476,0.015925,0.00568,0.009994,0.010939,0.385394,14.260173
2017H1,10013,屏東,442,0,臺中/苗栗,289,197,0.0,0.033089,0.016734,0.006494,0.009916,0.009843,0.39012,16.375169
2017H1,10007,彰化,443,0,臺中/苗栗,273,215,0.0,0.026561,0.015611,0.0062,0.008232,0.009181,0.41536,16.507953
2017H1,10009,雲林,316,0,臺中/苗栗,227,120,0.0,0.022315,0.013942,0.004237,0.007079,0.008932,0.376365,13.492699
2017H1,10010,嘉義縣,203,0,臺中/苗栗,178,75,0.047619,0.016827,0.013971,0.001943,0.005031,0.006996,0.33246,12.681577
2017H1,09020,金門,119,1,桃園/新竹縣,110,8,0.0,0.013108,0.010637,0.000236,0.00409,0.005424,0.384813,12.56774
2017H1,10016,澎湖,71,0,臺中/苗栗,55,36,0.0,0.006806,0.008461,0.001068,0.002104,0.005588,0.386801,10.559447
2017H1,10020,嘉義市,71,0,臺中/苗栗,45,101,0.0,0.003769,0.009388,0.002004,0.001228,0.004686,0.349143,11.952973
2017H1,09007,連江,40,1,桃園/新竹縣,40,4,0.0,0.005228,0.007855,0.000207,0.001802,0.007273,0.499508,5.994765
