period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2019H2,68000,桃園,19632,2,桃園/新竹縣,5148,3803,0.75,0.574743,0.172662,0.162587,0.154091,0.034457,0.354104,18.195891
2019H2,10004,新竹縣,16110,2,桃園/新竹縣,4755,3539,0.192857,0.497492,0.122588,0.104505,0.274391,0.028717,0.375091,18.927864
2019H2,65000,新北,7426,1,新北/臺北,4210,2000,0.104762,0.445207,0.126499,0.064545,0.15107,0.026921,0.401516,18.124651
2019H2,66000,臺中,9219,0,臺中/苗栗,2731,2652,0.271429,0.230449,0.091015,0.060305,0.070923,0.026819,0.325913,18.383157
2019H2,10005,苗栗,6248,0,臺中/苗栗,1914,1568,0.0,0.206948,0.065096,0.049878,0.06063,0.021118,0.433471,16.851226
2019H2,63000,臺北,2893,1,新北/臺北,1767,2639,0.0,0.208379,0.06587,0.102365,0.054702,0.021769,0.458647,17.727752
2019H2,10002,宜蘭,13133,1,新北/臺北,1731,2894,0.064286,0.191895,0.063983,0.086149,0.05456,0.025054,0.400172,17.789655
2019H2,10008,南投,5810,0,臺中/苗栗,1063,2037,0.0,0.108046,0.043428,0.053841,0.029517,0.018823,0.426991,17.616073
2019H2,10015,花蓮,2710,1,新北/臺北,829,2005,0.0,0.093405,0.033427,0.056621,0.02767,0.018537,0.410517,17.386361
2019H2,64000,高雄,1401,0,臺中/苗栗,803,533,0.0,0.079541,0.034605,0.015254,0.023363,0.012611,0.359359,16.372623
2019H2,10018,新竹市,1274,2,桃園/新竹縣,751,2796,0.035714,0.116676,0.031832,0.199063,0.027057,0.01359,0.788019,17.600402
2019H2,67000,臺南,672,0,臺中/苗栗,387,211,0.0,0.042628,0.01977,0.005835,0.011816,0.009068,0.365606,14.309895
2019H2,10017,基隆,661,1,新北/臺北,361,340,0.0,0.039927,0.016917,0.011346,0.012638,0.011307,0.437681,14.355021
2019H2,10014,臺東,516,0,臺中/苗栗,318,189,0.0,0.034816,0.016361,0.00534,0.010411,0.011117,0.389168,12.263344
2019H2,10007,彰化,503,0,臺中/苗栗,296,233,0.0,0.027501,0.015656,0.00608,0.008407,0.008026,0.414885,16.481822
2019H2,10013,屏東,453,0,臺中/苗栗,292,202,0.0,0.032986,0.016513,0.006367,0.009195,0.008301,0.387247,16.312801
2019H2,10009,雲林,304,0,臺中/苗栗,214,128,0.0,0.020445,0.013355,0.003955,0.006154,0.006725,0.375977,14.466124
2019H2,10010,嘉義縣,203,0,臺中/苗栗,178,85,0.047619,0.017334,0.013693,0.001974,0.004824,0.005756,0.343638,12.538662
2019H2,09020,金門,130,0,臺中/苗栗,119,9,0.0,0.013,0.01067,0.000266,0.00398,0.005088,0.37083,12.562085
2019H2,10016,澎湖,82,0,臺中/苗栗,63,39,0.0,0.007292,0.008648,0.001102,0.002028,0.005683,0.383539,9.613616
2019H2,10020,嘉義市,82,0,臺中/苗栗,51,111,0.0,0.003668,0.009581,0.002394,0.00114,0.003956,0.353324,11.953255
2019H2,09007,連江,37,1,新北/臺北,37,5,0.0,0.004774,0.007832,0.000227,0.001432,0.00606,0.472212,5.988334
