period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2019H1,68000,桃園,19453,2,桃園/新竹縣,5001,3814,0.716667,0.569402,0.169954,0.166473,0.152092,0.036859,0.355721,18.219135
2019H1,10004,新竹縣,16034,2,桃園/新竹縣,4667,3493,0.180952,0.499147,0.122951,0.105525,0.268291,0.02946,0.375667,18.938485
2019H1,65000,新北,7319,1,新北/臺北,4186,1945,0.092857,0.449989,0.12699,0.063058,0.155166,0.027513,0.402231,18.151604
2019H1,66000,臺中,9096,0,臺中/苗栗,2702,2619,0.27381,0.229633,0.091288,0.06009,0.07158,0.027371,0.32635,18.420448
2019H1,10005,苗栗,6253,0,臺中/苗栗,1906,1553,0.0,0.207328,0.065552,0.050317,0.060755,0.02049,0.4358,17.903681
2019H1,63000,臺北,2818,1,新北/臺北,1728,2599,0.0,0.206362,0.06569,0.104422,0.054094,0.023255,0.46038,16.748163
2019H1,10002,宜蘭,13038,1,新北/臺北,1726,2849,0.128571,0.19479,0.064441,0.086197,0.055988,0.025755,0.398901,17.820874
2019H1,10008,南投,5857,0,臺中/苗栗,1061,2008,0.0,0.108943,0.044054,0.054208,0.029974,0.019348,0.427352,17.663993
2019H1,10015,花蓮,2700,1,新北/臺北,818,2007,0.0,0.094335,0.033201,0.058224,0.028318,0.019088,0.408826,17.406491
2019H1,64000,高雄,1356,0,臺中/苗栗,779,516,0.0,0.077595,0.034204,0.014947,0.023286,0.012715,0.358018,16.397767
2019H1,10018,新竹市,1249,2,桃園/新竹縣,740,2691,0.033333,0.116953,0.032128,0.191697,0.027457,0.013833,0.788411,17.61538
2019H1,67000,臺南,668,0,臺中/苗栗,384,201,0.0,0.042084,0.019752,0.00574,0.011911,0.009636,0.363707,14.339917
2019H1,10017,基隆,653,1,新北/臺北,361,337,0.0,0.040457,0.016965,0.011316,0.01297,0.011685,0.437022,14.349944
2019H1,10014,臺東,518,0,臺中/苗栗,320,188,0.0,0.035448,0.016716,0.005593,0.010635,0.010743,0.390056,13.264065
2019H1,10007,彰化,481,0,臺中/苗栗,290,231,0.0,0.027306,0.015646,0.00623,0.008314,0.008219,0.413965,16.495911
2019H1,10013,屏東,451,0,臺中/苗栗,287,191,0.0,0.032353,0.016494,0.006155,0.009146,0.008417,0.386251,16.351911
2019H1,10009,雲林,300,0,臺中/苗栗,208,128,0.0,0.020192,0.013118,0.004059,0.006145,0.006871,0.37486,14.473933
2019H1,10010,嘉義縣,202,0,臺中/苗栗,178,82,0.047619,0.016837,0.013731,0.001963,0.004832,0.005535,0.340452,13.60464
2019H1,09020,金門,128,0,臺中/苗栗,117,8,0.0,0.013531,0.010909,0.000226,0.004067,0.004854,0.377081,13.521454
2019H1,10016,澎湖,81,0,臺中/苗栗,63,40,0.0,0.007292,0.008665,0.00112,0.002087,0.005517,0.375033,10.579655
2019H1,10020,嘉義市,81,0,臺中/苗栗,52,110,0.0,0.00439,0.00955,0.002204,0.001306,0.004282,0.349173,11.996187
2019H1,09007,連江,41,1,新北/臺北,41,5,0.0,0.005406,0.008003,0.000235,0.001584,0.006449,0.478202,6.101703
