period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2022H2,68000,桃園,21844,0,桃園/新竹縣,5360,4194,0.778571,0.571154,0.171843,0.178211,0.139768,0.033078,0.352494,18.223689
2022H2,10004,新竹縣,16259,0,桃園/新竹縣,5114,3656,0.161905,0.501411,0.120409,0.092072,0.309734,0.027092,0.379722,18.947614
2022H2,65000,新北,7790,1,新北/宜蘭,4415,2163,0.064286,0.448078,0.123669,0.062379,0.147148,0.025677,0.405017,18.160873
2022H2,66000,臺中,9464,2,臺中/苗栗,2794,2875,0.238095,0.226574,0.092076,0.060129,0.063819,0.024429,0.322118,18.400055
2022H2,10005,苗栗,6224,2,臺中/苗栗,1978,1582,0.0,0.201962,0.063088,0.047056,0.059025,0.018548,0.437052,17.821887
2022H2,10002,宜蘭,13655,1,新北/宜蘭,1909,2904,0.114286,0.200176,0.067044,0.077231,0.055086,0.023766,0.399137,17.778534
2022H2,63000,臺北,2920,1,新北/宜蘭,1723,2851,0.0,0.195703,0.062401,0.099324,0.047497,0.020483,0.465143,17.720891
2022H2,10008,南投,5810,2,臺中/苗栗,1150,1985,0.011905,0.110799,0.044019,0.046256,0.029693,0.016701,0.433519,17.596012
2022H2,10015,花蓮,2705,1,新北/宜蘭,906,1928,0.0,0.098124,0.034266,0.047586,0.028069,0.01727,0.408598,17.377791
2022H2,64000,高雄,1528,2,臺中/苗栗,865,575,0.0,0.084321,0.036883,0.015443,0.024127,0.011034,0.361495,17.392967
2022H2,10018,新竹市,1348,0,桃園/新竹縣,791,3151,0.0,0.11853,0.031459,0.231571,0.02457,0.013359,0.784411,17.643411
2022H2,67000,臺南,728,2,臺中/苗栗,411,229,0.0,0.04042,0.020301,0.005647,0.0111,0.008792,0.358442,14.307882
2022H2,10017,基隆,693,1,新北/宜蘭,392,358,0.0,0.043108,0.017429,0.01048,0.012682,0.010206,0.435329,15.398393
2022H2,10013,屏東,530,2,臺中/苗栗,356,206,0.0,0.037654,0.017937,0.005684,0.010296,0.007653,0.380217,16.293621
2022H2,10014,臺東,547,2,臺中/苗栗,337,194,0.0,0.035397,0.01661,0.004887,0.010031,0.008986,0.384761,14.282464
2022H2,10007,彰化,546,2,臺中/苗栗,326,257,0.0,0.030832,0.016262,0.005702,0.008456,0.0075,0.415462,16.443715
2022H2,10009,雲林,314,2,臺中/苗栗,218,144,0.0,0.019606,0.013459,0.004203,0.005846,0.006072,0.376184,15.477421
2022H2,10010,嘉義縣,214,2,臺中/苗栗,187,92,0.0,0.016234,0.013652,0.001932,0.0043,0.005444,0.340676,12.460956
2022H2,09020,金門,130,2,臺中/苗栗,120,12,0.0,0.01256,0.010573,0.00044,0.003803,0.004639,0.378547,12.570339
2022H2,10016,澎湖,97,2,臺中/苗栗,75,46,0.0,0.008339,0.009112,0.001243,0.002141,0.004845,0.38581,11.494411
2022H2,10020,嘉義市,97,2,臺中/苗栗,65,123,0.0,0.005681,0.009679,0.00235,0.00156,0.003906,0.353214,12.998263
2022H2,09007,連江,39,1,新北/宜蘭,39,6,0.0,0.004047,0.007829,0.000173,0.001251,0.004108,0.394068,8.657219
