period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2018H1,68000,桃園,19406,1,桃園/新竹縣,4908,3844,0.730952,0.565246,0.170457,0.165955,0.153926,0.038191,0.353946,18.227165
2018H1,10004,新竹縣,15953,1,桃園/新竹縣,4531,3452,0.145238,0.495477,0.122866,0.109909,0.25202,0.030305,0.376548,18.91881
2018H1,65000,新北,7303,2,新北/臺北,4221,1832,0.045238,0.461485,0.128026,0.060801,0.162898,0.029697,0.402503,18.154701
2018H1,66000,臺中,9016,0,臺中/苗栗,2691,2547,0.238095,0.230349,0.091612,0.060639,0.07383,0.028217,0.326982,18.408723
2018H1,10005,苗栗,6168,0,臺中/苗栗,1836,1541,0.0,0.205525,0.065169,0.050663,0.059922,0.020965,0.437602,17.888893
2018H1,63000,臺北,2757,2,新北/臺北,1693,2537,0.0,0.205252,0.065068,0.106879,0.055571,0.022713,0.461498,17.730862
2018H1,10002,宜蘭,12676,2,新北/臺北,1655,2836,0.164286,0.190017,0.063575,0.089737,0.054891,0.026317,0.400157,17.798
2018H1,10008,南投,5883,0,臺中/苗栗,1041,2006,0.0,0.107885,0.044257,0.056929,0.030168,0.020064,0.425991,17.652765
2018H1,10015,花蓮,2707,2,新北/臺北,834,2029,0.0,0.096963,0.033751,0.061159,0.029786,0.019907,0.408848,17.412608
2018H1,64000,高雄,1336,0,臺中/苗栗,781,502,0.0,0.079466,0.034135,0.01488,0.024496,0.013097,0.360938,16.38787
2018H1,10018,新竹市,1212,1,桃園/新竹縣,729,2561,0.033333,0.11797,0.032333,0.176933,0.028534,0.014766,0.791541,17.624397
2018H1,67000,臺南,625,0,臺中/苗栗,364,207,0.0,0.039096,0.019047,0.006163,0.011554,0.009854,0.361232,14.331777
2018H1,10017,基隆,648,2,新北/臺北,362,320,0.0,0.041322,0.017257,0.010969,0.013429,0.011941,0.436301,14.345377
2018H1,10014,臺東,496,2,新北/臺北,305,185,0.0,0.033993,0.016318,0.005764,0.010309,0.010437,0.390347,14.245744
2018H1,10013,屏東,442,0,臺中/苗栗,286,199,0.0,0.032714,0.016454,0.006428,0.00955,0.008874,0.389639,16.356093
2018H1,10007,彰化,468,0,臺中/苗栗,286,223,0.0,0.027301,0.015767,0.006298,0.00851,0.008438,0.414393,16.504378
2018H1,10009,雲林,310,0,臺中/苗栗,223,123,0.0,0.021913,0.013711,0.004198,0.006819,0.007569,0.378952,14.406859
2018H1,10010,嘉義縣,194,0,臺中/苗栗,170,80,0.047619,0.015963,0.013501,0.001962,0.004692,0.005963,0.335918,13.542602
2018H1,09020,金門,127,0,臺中/苗栗,117,8,0.0,0.013853,0.010862,0.000233,0.004231,0.005386,0.383689,12.524573
2018H1,10016,澎湖,77,0,臺中/苗栗,60,37,0.0,0.007148,0.008616,0.001073,0.002102,0.005549,0.381497,10.574117
2018H1,10020,嘉義市,78,0,臺中/苗栗,48,105,0.0,0.004231,0.009473,0.00223,0.001209,0.004965,0.349896,11.953764
2018H1,09007,連江,37,2,新北/臺北,37,4,0.0,0.004463,0.007746,0.000198,0.001553,0.005875,0.493328,6.701789
