period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2020H2,68000,桃園,19662,2,桃園/新竹縣,5255,3844,0.771429,0.576057,0.173176,0.163203,0.152675,0.033861,0.354048,18.190275
2020H2,10004,新竹縣,16110,2,桃園/新竹縣,4844,3620,0.15,0.496705,0.121668,0.102903,0.283175,0.028153,0.375971,18.940259
2020H2,65000,新北,7579,1,新北/臺北,4275,2035,0.064286,0.444575,0.125501,0.063989,0.148943,0.026465,0.400927,18.123864
2020H2,66000,臺中,9281,0,臺中/苗栗,2741,2744,0.197619,0.229935,0.090843,0.06099,0.068794,0.026514,0.323988,18.381934
2020H2,10005,苗栗,6214,0,臺中/苗栗,1917,1595,0.0,0.203976,0.063423,0.049643,0.059603,0.020649,0.433198,16.826021
2020H2,63000,臺北,2947,1,新北/臺北,1775,2687,0.0,0.207215,0.065408,0.100933,0.053413,0.021335,0.459375,17.724806
2020H2,10002,宜蘭,13272,1,新北/臺北,1773,2925,0.147619,0.192657,0.065072,0.084103,0.053566,0.024629,0.398321,17.794783
2020H2,10008,南投,5840,0,臺中/苗栗,1102,2010,0.0,0.110677,0.043834,0.051294,0.030074,0.018446,0.427987,17.601318
2020H2,10015,花蓮,2725,1,新北/臺北,856,1975,0.0,0.092884,0.033604,0.053925,0.027477,0.018057,0.409946,17.367331
2020H2,64000,高雄,1440,0,臺中/苗栗,822,552,0.0,0.082291,0.035827,0.015561,0.023963,0.011873,0.36235,17.36632
2020H2,10018,新竹市,1312,2,桃園/新竹縣,765,2923,0.033333,0.118642,0.031759,0.2088,0.026883,0.013557,0.78819,17.597367
2020H2,67000,臺南,690,0,臺中/苗栗,403,221,0.0,0.042945,0.02023,0.00582,0.011836,0.009108,0.362402,14.315005
2020H2,10017,基隆,676,1,新北/臺北,367,339,0.0,0.040322,0.016924,0.010995,0.012612,0.010981,0.436209,14.356675
2020H2,10014,臺東,525,0,臺中/苗栗,322,191,0.0,0.034834,0.016541,0.005294,0.010144,0.00964,0.386967,14.242309
2020H2,10007,彰化,511,0,臺中/苗栗,306,247,0.0,0.027924,0.015851,0.006206,0.008348,0.007698,0.413093,16.438495
2020H2,10013,屏東,469,0,臺中/苗栗,301,201,0.0,0.033505,0.016527,0.006011,0.00943,0.007901,0.384262,16.326872
2020H2,10009,雲林,304,0,臺中/苗栗,217,137,0.0,0.020238,0.013439,0.004111,0.006008,0.006685,0.377334,14.456685
2020H2,10010,嘉義縣,209,0,臺中/苗栗,184,86,0.047619,0.017137,0.013734,0.002067,0.004765,0.005461,0.342093,13.424136
2020H2,09020,金門,131,0,臺中/苗栗,120,9,0.0,0.012744,0.010619,0.000262,0.003876,0.004922,0.370479,12.569111
2020H2,10016,澎湖,85,0,臺中/苗栗,66,42,0.0,0.007592,0.008775,0.001253,0.002061,0.00567,0.394695,9.622778
2020H2,10020,嘉義市,93,0,臺中/苗栗,57,111,0.0,0.004267,0.009631,0.002454,0.001281,0.003904,0.350581,12.985297
2020H2,09007,連江,31,1,新北/臺北,31,5,0.0,0.00356,0.007612,0.000183,0.001072,0.004807,0.434608,6.789299
