period,town_code,town_name,county_pref,county_name,is_mountain,total_pop,n_source_counties,diversity_entropy,gini_concentration,top1_src_county,top1_src_cnt,top2_src_county,top2_src_cnt,top3_src_county,top3_src_cnt
2018H2,1000512,苗栗(T12),10005,苗栗,0,50,7,0.9972,0.6629,苗栗,37,臺中,4,新竹市,3
2018H2,6400002,高雄(T02),64000,高雄,0,55,11,1.8112,0.5157,高雄,27,花蓮,5,桃園,4
2018H2,6500015,新北(T15),65000,新北,0,158,12,1.9145,0.5707,新北,58,臺北,27,桃園,22
2018H2,1000901,雲林(T01),10009,雲林,0,48,12,2.0204,0.5035,臺中,14,雲林,13,新竹縣,4
2018H2,6500005,新北(T05),65000,新北,0,403,17,2.1526,0.6095,新北,132,臺北,55,桃園,39
2018H2,6800009,桃園(T09),68000,桃園,0,1174,17,1.3734,0.795,桃園,730,新竹縣,211,花蓮,41
2018H2,6500006,新北(T06),65000,新北,0,539,14,1.9257,0.6275,新北,187,臺北,102,宜蘭,94
2018H2,1000502,苗栗(T02),10005,苗栗,0,33,8,1.7906,0.4053,苗栗,11,臺中,7,南投,6
2018H2,1000811,南投(T11),10008,南投,0,32,8,1.401,0.5859,南投,18,臺中,6,桃園,3
2018H2,6600018,臺中(T18),66000,臺中,0,192,18,1.6512,0.7315,臺中,113,南投,21,苗栗,12
2018H2,6600003,臺中(T03),66000,臺中,0,148,15,1.7406,0.6712,臺中,70,南投,36,新竹縣,7
2018H2,6400014,高雄(T14),64000,高雄,0,78,14,1.9848,0.5623,高雄,35,花蓮,8,新竹縣,6
2018H2,1000509,苗栗(T09),10005,苗栗,0,114,10,1.2312,0.707,苗栗,77,臺中,12,新竹縣,9
2018H2,1001301,屏東(T01),10013,屏東,0,102,15,2.0909,0.566,屏東,40,桃園,14,南投,11
2018H2,1001506,花蓮(T06),10015,花蓮,0,109,9,1.1731,0.6952,花蓮,75,桃園,11,宜蘭,9
2018H2,6300001,臺北(T01),63000,臺北,0,128,12,2.0443,0.4596,臺北,51,宜蘭,12,桃園,11
