period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2016H1,68000,桃園,18974,1,桃園/新竹縣,4517,3867,0.725,0.549688,0.166566,0.174452,0.148759,0.03948,0.360135,18.248604
2016H1,10004,新竹縣,15837,1,桃園/新竹縣,4338,3348,0.163095,0.503287,0.126286,0.113182,0.232727,0.033516,0.376579,18.909077
2016H1,65000,新北,7154,2,新北/宜蘭,4212,1700,0.02381,0.471743,0.128343,0.057219,0.173928,0.034331,0.399704,18.190843
2016H1,66000,臺中,8639,0,臺中/苗栗,2603,2474,0.207143,0.2277,0.090288,0.062139,0.076413,0.03065,0.329206,18.441629
2016H1,10005,苗栗,6213,0,臺中/苗栗,1818,1467,0.0,0.209099,0.066301,0.050789,0.06165,0.023026,0.439423,17.922621
2016H1,10002,宜蘭,12444,2,新北/宜蘭,1640,2709,0.128571,0.191512,0.065024,0.092089,0.057691,0.029033,0.399148,17.770891
2016H1,63000,臺北,2586,2,新北/宜蘭,1634,2432,0.002381,0.205032,0.065833,0.110557,0.057028,0.025016,0.460793,17.736922
2016H1,10008,南投,5962,0,臺中/苗栗,1010,2006,0.009524,0.106008,0.045188,0.060372,0.030623,0.022148,0.427463,17.683498
2016H1,10015,花蓮,2664,2,新北/宜蘭,794,2117,0.028571,0.09423,0.033689,0.067556,0.029781,0.023571,0.401573,17.443443
2016H1,64000,高雄,1249,0,臺中/苗栗,746,469,0.0,0.078132,0.034025,0.014342,0.025444,0.014163,0.361718,16.394222
2016H1,10018,新竹市,1170,1,桃園/新竹縣,725,2247,0.0,0.120709,0.030983,0.15208,0.030197,0.01676,0.786222,17.625329
2016H1,10017,基隆,637,2,新北/宜蘭,367,316,0.0,0.043532,0.017823,0.011699,0.014369,0.014386,0.436428,13.374046
2016H1,67000,臺南,590,0,臺中/苗栗,342,185,0.0,0.036333,0.018477,0.006042,0.011437,0.010458,0.361148,14.339589
2016H1,10014,臺東,463,2,新北/宜蘭,291,169,0.0,0.031465,0.015633,0.005304,0.01018,0.012002,0.388371,13.263565
2016H1,10013,屏東,435,0,臺中/苗栗,286,192,0.0,0.032145,0.016737,0.006508,0.009857,0.009824,0.386,16.370703
2016H1,10007,彰化,429,0,臺中/苗栗,271,207,0.0,0.026309,0.015501,0.006338,0.008273,0.009728,0.427975,16.560227
2016H1,10009,雲林,296,0,臺中/苗栗,209,108,0.0,0.021054,0.01336,0.003868,0.006898,0.008074,0.374782,14.446718
2016H1,10010,嘉義縣,189,0,臺中/苗栗,166,73,0.041667,0.016567,0.013574,0.001967,0.005088,0.007248,0.337443,13.591049
2016H1,09020,金門,120,1,桃園/新竹縣,111,5,0.0,0.01364,0.010651,0.000163,0.004408,0.005909,0.399319,12.570643
2016H1,10016,澎湖,71,0,臺中/苗栗,56,35,0.0,0.006955,0.008506,0.001144,0.002185,0.007164,0.393348,8.715953
2016H1,10020,嘉義市,74,0,臺中/苗栗,45,91,0.0,0.003839,0.009327,0.001978,0.001264,0.004684,0.344136,11.768151
2016H1,09007,連江,40,1,桃園/新竹縣,40,4,0.0,0.005337,0.007886,0.000213,0.001799,0.006874,0.503171,6.777731
