period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2014H1,68000,桃園,18430,2,桃園/新竹縣,4321,3868,0.745238,0.538273,0.162791,0.171646,0.153022,0.04378,0.360288,18.243485
2014H1,65000,新北,7088,1,新北/宜蘭,4299,1549,0.019048,0.493107,0.131132,0.05383,0.188859,0.036499,0.39809,18.207149
2014H1,10004,新竹縣,15630,2,桃園/新竹縣,4054,3312,0.2,0.49216,0.125061,0.121963,0.200533,0.037405,0.377748,18.843963
2014H1,66000,臺中,8481,0,臺中/苗栗,2608,2352,0.309524,0.236253,0.092775,0.060671,0.083288,0.034138,0.331513,18.438815
2014H1,10005,苗栗,6105,0,臺中/苗栗,1733,1478,0.0,0.207801,0.06726,0.052885,0.059325,0.025921,0.435114,17.888027
2014H1,10002,宜蘭,11956,1,新北/宜蘭,1576,2716,0.216667,0.190204,0.064617,0.101423,0.058398,0.032394,0.39996,17.719048
2014H1,63000,臺北,2438,1,新北/宜蘭,1558,2317,0.0,0.202109,0.063871,0.115433,0.05808,0.028658,0.463019,17.683746
2014H1,10008,南投,6074,0,臺中/苗栗,977,2016,0.0,0.107172,0.045438,0.06653,0.030258,0.02617,0.428279,16.685596
2014H1,64000,高雄,1285,0,臺中/苗栗,823,431,0.0,0.090605,0.03677,0.014059,0.030881,0.016148,0.369672,16.438587
2014H1,10015,花蓮,2656,1,新北/宜蘭,770,2178,0.057143,0.092088,0.034064,0.075164,0.029884,0.026752,0.39889,17.475361
2014H1,10018,新竹市,1080,2,桃園/新竹縣,697,1984,0.0,0.117796,0.030245,0.121765,0.031196,0.020277,0.773665,16.587139
2014H1,67000,臺南,603,0,臺中/苗栗,374,168,0.047619,0.042042,0.021714,0.005645,0.01372,0.012145,0.369909,15.385995
2014H1,10017,基隆,585,1,新北/宜蘭,344,307,0.0,0.040467,0.017153,0.012216,0.01404,0.016575,0.437667,13.362791
2014H1,10013,屏東,393,0,臺中/苗栗,279,180,0.0,0.032867,0.016988,0.006205,0.010224,0.010767,0.391893,16.382679
2014H1,10014,臺東,428,1,新北/宜蘭,265,156,0.0,0.0297,0.014845,0.00538,0.009897,0.014743,0.393821,11.43326
2014H1,10007,彰化,412,0,臺中/苗栗,254,189,0.0,0.025442,0.014854,0.005936,0.008294,0.010014,0.424745,15.528607
2014H1,10009,雲林,264,0,臺中/苗栗,180,102,0.0,0.017465,0.012433,0.003891,0.006133,0.009294,0.37973,12.49505
2014H1,10010,嘉義縣,190,0,臺中/苗栗,172,60,0.0,0.016965,0.013648,0.001878,0.00535,0.008273,0.348091,12.648815
2014H1,09020,金門,103,0,臺中/苗栗,98,7,0.0,0.011678,0.010159,0.000172,0.003891,0.00601,0.382074,13.582863
2014H1,10016,澎湖,57,0,臺中/苗栗,44,33,0.0,0.005349,0.008172,0.001096,0.001766,0.007274,0.389006,9.602642
2014H1,10020,嘉義市,60,0,臺中/苗栗,40,91,0.0,0.004546,0.008286,0.001977,0.001479,0.005614,0.35536,11.100636
2014H1,09007,連江,32,1,新北/宜蘭,32,4,0.0,0.004433,0.007725,0.000235,0.00148,0.008601,0.500285,5.029361
