period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2020H1,68000,桃園,19602,0,桃園/新竹縣,5176,3822,0.759524,0.574723,0.172797,0.163314,0.151781,0.033833,0.354428,18.186196
2020H1,10004,新竹縣,16141,0,桃園/新竹縣,4810,3567,0.15,0.497169,0.122392,0.102747,0.281759,0.02819,0.375332,18.935998
2020H1,65000,新北,7500,1,新北/臺北,4256,2012,0.109524,0.446382,0.126998,0.064032,0.149883,0.026499,0.400872,18.120146
2020H1,66000,臺中,9269,2,臺中/苗栗,2730,2687,0.195238,0.229346,0.090853,0.060375,0.069508,0.026432,0.324723,18.372847
2020H1,10005,苗栗,6237,2,臺中/苗栗,1918,1581,0.0,0.20471,0.06434,0.049682,0.060064,0.020735,0.432122,16.832303
2020H1,63000,臺北,2915,1,新北/臺北,1772,2664,0.0,0.208732,0.065547,0.101572,0.054315,0.02135,0.459987,17.723253
2020H1,10002,宜蘭,13194,1,新北/臺北,1742,2914,0.145238,0.192146,0.06437,0.084566,0.053782,0.02458,0.399193,17.795541
2020H1,10008,南投,5820,2,臺中/苗栗,1067,2012,0.0,0.108135,0.043322,0.052004,0.029462,0.018376,0.427577,17.601885
2020H1,10015,花蓮,2710,1,新北/臺北,848,2002,0.0,0.094175,0.033602,0.055354,0.027768,0.018151,0.410998,17.365947
2020H1,64000,高雄,1418,2,臺中/苗栗,808,538,0.0,0.079341,0.034514,0.015155,0.023354,0.012382,0.359142,16.365389
2020H1,10018,新竹市,1292,0,桃園/新竹縣,761,2870,0.033333,0.117969,0.032002,0.20655,0.026938,0.013536,0.786515,17.59696
2020H1,67000,臺南,679,2,臺中/苗栗,390,211,0.0,0.041794,0.019779,0.005635,0.011593,0.008947,0.361001,14.302524
2020H1,10017,基隆,665,1,新北/臺北,360,341,0.0,0.039582,0.016814,0.011347,0.012382,0.011024,0.436995,14.338201
2020H1,10014,臺東,530,1,新北/臺北,326,191,0.0,0.035501,0.016654,0.00529,0.01041,0.01099,0.388074,12.252087
2020H1,10007,彰化,510,2,臺中/苗栗,307,237,0.0,0.028754,0.015914,0.006047,0.008562,0.007975,0.415313,16.441808
2020H1,10013,屏東,459,2,臺中/苗栗,298,202,0.0,0.033476,0.016584,0.006239,0.009317,0.008173,0.386894,16.312261
2020H1,10009,雲林,305,2,臺中/苗栗,216,130,0.0,0.020344,0.013404,0.00393,0.00605,0.006633,0.375326,14.470644
2020H1,10010,嘉義縣,203,2,臺中/苗栗,179,86,0.047619,0.017306,0.013557,0.002088,0.004825,0.005698,0.346217,12.484918
2020H1,09020,金門,131,2,臺中/苗栗,120,9,0.0,0.012966,0.010731,0.000264,0.003928,0.004978,0.370706,12.5513
2020H1,10016,澎湖,83,2,臺中/苗栗,66,41,0.0,0.007819,0.008766,0.001242,0.00212,0.005683,0.39629,9.640416
2020H1,10020,嘉義市,85,2,臺中/苗栗,50,109,0.0,0.003732,0.009442,0.002345,0.001111,0.003889,0.352894,11.978379
2020H1,09007,連江,31,1,新北/臺北,31,5,0.0,0.003589,0.007618,0.000222,0.001087,0.005491,0.446248,5.916089
