period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2018H2,68000,桃園,19508,1,桃園/新竹縣,4985,3823,0.716667,0.570647,0.170432,0.165079,0.154669,0.037634,0.354562,18.225524
2018H2,10004,新竹縣,16025,1,桃園/新竹縣,4603,3480,0.142857,0.49707,0.122751,0.108314,0.259593,0.029966,0.376463,18.931345
2018H2,65000,新北,7299,2,新北/宜蘭,4174,1903,0.083333,0.451686,0.127072,0.062707,0.157154,0.027963,0.402437,18.148729
2018H2,66000,臺中,9038,0,臺中/苗栗,2676,2608,0.233333,0.227442,0.090978,0.060729,0.071908,0.027827,0.326594,18.417075
2018H2,10005,苗栗,6273,0,臺中/苗栗,1896,1537,0.0,0.20736,0.065512,0.050224,0.061067,0.020754,0.437293,17.914496
2018H2,10002,宜蘭,13021,2,新北/宜蘭,1720,2815,0.17381,0.195635,0.064519,0.087217,0.056582,0.026108,0.399559,17.811608
2018H2,63000,臺北,2791,2,新北/宜蘭,1708,2581,0.0,0.204972,0.065089,0.105618,0.054491,0.023626,0.459232,16.745894
2018H2,10008,南投,5869,0,臺中/苗栗,1054,2006,0.0,0.108545,0.044116,0.055302,0.030203,0.019795,0.42512,17.671147
2018H2,10015,花蓮,2685,2,新北/宜蘭,818,2034,0.0,0.095897,0.033337,0.05997,0.028817,0.019542,0.408583,17.414861
2018H2,64000,高雄,1346,0,臺中/苗栗,783,516,0.0,0.079005,0.034428,0.015318,0.0239,0.012974,0.360126,16.40018
2018H2,10018,新竹市,1235,1,桃園/新竹縣,729,2640,0.030952,0.116206,0.031865,0.184533,0.027701,0.014692,0.788675,17.622193
2018H2,67000,臺南,657,0,臺中/苗栗,381,201,0.0,0.041828,0.01964,0.00584,0.012039,0.009334,0.36348,14.335134
2018H2,10017,基隆,653,2,新北/宜蘭,360,332,0.0,0.040824,0.017044,0.011186,0.013154,0.01188,0.436219,14.352499
2018H2,10014,臺東,515,0,臺中/苗栗,319,186,0.0,0.035966,0.016819,0.005659,0.010765,0.010972,0.39208,13.280295
2018H2,10007,彰化,475,0,臺中/苗栗,286,225,0.0,0.027649,0.015724,0.006205,0.008461,0.007932,0.412397,16.494719
2018H2,10013,屏東,448,0,臺中/苗栗,283,191,0.0,0.031924,0.016367,0.006211,0.009148,0.00818,0.386604,16.368241
2018H2,10009,雲林,310,0,臺中/苗栗,218,124,0.0,0.021536,0.013456,0.004066,0.006554,0.006977,0.378497,14.46712
2018H2,10010,嘉義縣,203,0,臺中/苗栗,178,82,0.047619,0.016906,0.013744,0.002031,0.004956,0.005713,0.341574,13.557625
2018H2,09020,金門,129,0,臺中/苗栗,119,8,0.0,0.01386,0.010939,0.000228,0.004171,0.005009,0.378924,13.536383
2018H2,10016,澎湖,81,0,臺中/苗栗,63,37,0.0,0.007078,0.008622,0.001041,0.002113,0.005515,0.371278,10.560186
2018H2,10020,嘉義市,81,0,臺中/苗栗,52,107,0.0,0.004329,0.009705,0.002282,0.001227,0.004364,0.346081,11.937549
2018H2,09007,連江,36,2,新北/宜蘭,36,5,0.0,0.004499,0.007841,0.000241,0.001328,0.006169,0.469313,6.056321
