period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2015H2,68000,桃園,18956,2,桃園/新竹縣,4460,3819,0.709524,0.548649,0.166234,0.173301,0.149908,0.040311,0.35971,18.242859
2015H2,10004,新竹縣,15778,2,桃園/新竹縣,4247,3320,0.197619,0.502011,0.126192,0.114684,0.226353,0.034305,0.376015,18.896195
2015H2,65000,新北,7079,1,新北/臺北,4170,1656,0.021429,0.472073,0.128005,0.056684,0.175087,0.035089,0.39829,18.179381
2015H2,66000,臺中,8512,0,臺中/苗栗,2565,2469,0.238095,0.228465,0.090708,0.063847,0.077074,0.031394,0.330452,18.432386
2015H2,10005,苗栗,6223,0,臺中/苗栗,1830,1459,0.0,0.214065,0.067549,0.05135,0.063175,0.023732,0.439885,17.935658
2015H2,63000,臺北,2561,1,新北/臺北,1619,2393,0.002381,0.205261,0.065842,0.11121,0.057554,0.025625,0.457835,17.716407
2015H2,10002,宜蘭,12338,1,新北/臺北,1617,2670,0.133333,0.190558,0.064641,0.092571,0.058132,0.029664,0.397439,17.758619
2015H2,10008,南投,5975,0,臺中/苗栗,989,1993,0.007143,0.105865,0.045125,0.061768,0.030737,0.022685,0.427152,17.685068
2015H2,10015,花蓮,2674,1,新北/臺北,789,2123,0.038095,0.09474,0.033924,0.069405,0.030018,0.024224,0.401764,17.432021
2015H2,64000,高雄,1233,0,臺中/苗栗,740,462,0.0,0.078223,0.034179,0.014419,0.02568,0.014506,0.361626,16.388461
2015H2,10018,新竹市,1139,2,桃園/新竹縣,710,2166,0.0,0.119732,0.030789,0.14588,0.030198,0.017081,0.788678,16.625335
2015H2,10017,基隆,620,1,新北/臺北,353,320,0.0,0.04241,0.017459,0.012063,0.013973,0.0163,0.440884,12.380172
2015H2,67000,臺南,596,0,臺中/苗栗,343,174,0.0,0.036622,0.018455,0.005655,0.011673,0.010559,0.360778,14.32096
2015H2,10013,屏東,444,0,臺中/苗栗,302,184,0.0,0.035681,0.017652,0.006319,0.010792,0.009802,0.389671,16.365741
2015H2,10014,臺東,455,1,新北/臺北,287,168,0.0,0.031134,0.01551,0.005381,0.010217,0.012844,0.390125,12.307842
2015H2,10007,彰化,415,0,臺中/苗栗,259,201,0.0,0.025875,0.015234,0.006147,0.008143,0.009517,0.423057,16.548438
2015H2,10009,雲林,293,0,臺中/苗栗,205,106,0.0,0.020643,0.013322,0.00386,0.006908,0.008692,0.374709,13.474563
2015H2,10010,嘉義縣,183,0,臺中/苗栗,163,72,0.0,0.016636,0.013343,0.002005,0.005143,0.007821,0.342191,12.590038
2015H2,09020,金門,114,2,桃園/新竹縣,107,5,0.0,0.013424,0.010546,0.000165,0.00435,0.005951,0.40363,12.583939
2015H2,10016,澎湖,64,0,臺中/苗栗,50,35,0.0,0.005973,0.008335,0.001132,0.001901,0.007125,0.380322,8.699368
2015H2,10020,嘉義市,74,0,臺中/苗栗,45,89,0.0,0.004038,0.009105,0.001934,0.001306,0.004902,0.334698,11.891632
2015H2,09007,連江,38,1,新北/臺北,38,4,0.0,0.005154,0.007854,0.000218,0.001677,0.007778,0.496856,5.873731
