period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2021H2,68000,桃園,21637,2,桃園/新竹縣,5366,4125,0.785714,0.57412,0.17353,0.174394,0.145275,0.033898,0.352035,18.219065
2021H2,10004,新竹縣,16221,2,桃園/新竹縣,5021,3666,0.152381,0.501355,0.120248,0.097315,0.298165,0.027718,0.379774,18.941974
2021H2,65000,新北,7657,1,新北/宜蘭,4329,2101,0.064286,0.443889,0.123643,0.063257,0.1463,0.026047,0.40549,18.136145
2021H2,66000,臺中,9397,0,臺中/苗栗,2768,2807,0.157143,0.227421,0.092393,0.060267,0.065692,0.023687,0.324595,18.392588
2021H2,10005,苗栗,6199,0,臺中/苗栗,1938,1606,0.0,0.199836,0.062904,0.04814,0.058566,0.019164,0.434889,17.822658
2021H2,10002,宜蘭,13412,1,新北/宜蘭,1849,2941,0.147619,0.195746,0.065879,0.080724,0.054192,0.024365,0.398758,17.797793
2021H2,63000,臺北,2984,1,新北/宜蘭,1777,2750,0.0,0.203539,0.064363,0.098525,0.051435,0.021021,0.461757,17.717048
2021H2,10008,南投,5861,0,臺中/苗栗,1148,2004,0.0,0.112912,0.044544,0.048061,0.030526,0.018103,0.429873,17.603851
2021H2,10015,花蓮,2709,1,新北/宜蘭,898,1950,0.0,0.096287,0.034243,0.050091,0.028323,0.017747,0.410633,17.374098
2021H2,64000,高雄,1476,0,臺中/苗栗,838,550,0.0,0.082864,0.035304,0.015114,0.023869,0.011592,0.364046,17.399307
2021H2,10018,新竹市,1335,2,桃園/新竹縣,784,3044,0.033333,0.117885,0.031498,0.220564,0.025688,0.013511,0.785697,17.617024
2021H2,67000,臺南,710,0,臺中/苗栗,411,227,0.0,0.041594,0.020384,0.005768,0.011549,0.008986,0.362328,14.324471
2021H2,10017,基隆,687,1,新北/宜蘭,389,352,0.0,0.042374,0.017388,0.010703,0.012966,0.00998,0.436728,15.393679
2021H2,10013,屏東,504,0,臺中/苗栗,332,203,0.0,0.035614,0.017357,0.005874,0.009896,0.007636,0.385196,16.32402
2021H2,10014,臺東,533,0,臺中/苗栗,332,195,0.0,0.034543,0.016465,0.005014,0.010266,0.009154,0.383934,14.286843
2021H2,10007,彰化,527,0,臺中/苗栗,316,257,0.0,0.029273,0.016092,0.005984,0.008293,0.00727,0.416199,16.444941
2021H2,10009,雲林,322,0,臺中/苗栗,228,138,0.0,0.020856,0.013705,0.004026,0.006188,0.00661,0.379201,14.475017
2021H2,10010,嘉義縣,208,0,臺中/苗栗,182,91,0.047619,0.016349,0.013462,0.00197,0.004436,0.005614,0.339845,12.48927
2021H2,09020,金門,134,0,臺中/苗栗,122,10,0.0,0.01327,0.010599,0.000272,0.004093,0.004649,0.38648,12.607284
2021H2,10016,澎湖,91,0,臺中/苗栗,69,45,0.0,0.007657,0.008889,0.001281,0.002028,0.005377,0.38952,10.520862
2021H2,10020,嘉義市,86,0,臺中/苗栗,55,117,0.0,0.003986,0.009463,0.002463,0.001187,0.003773,0.349989,12.99523
2021H2,09007,連江,33,1,新北/宜蘭,33,6,0.0,0.003396,0.007647,0.000191,0.001065,0.003966,0.40003,8.676073
