period,county_code,county_name,population,community,community_label,in_degree_w,out_degree_w,betweenness,eigenvector,pagerank,hub,authority,clustering,burt_constraint,burt_eff_size
2021H1,68000,桃園,21482,2,桃園/新竹縣,5317,4102,0.790476,0.57175,0.173735,0.173968,0.146009,0.03432,0.353385,18.22766
2021H1,10004,新竹縣,16221,2,桃園/新竹縣,4994,3657,0.152381,0.504856,0.121766,0.0986,0.292264,0.028245,0.379524,18.944221
2021H1,65000,新北,7646,1,新北/宜蘭,4346,2069,0.054762,0.444035,0.12505,0.063377,0.148879,0.025289,0.404255,18.148154
2021H1,66000,臺中,9345,0,臺中/苗栗,2767,2785,0.195238,0.228445,0.091351,0.060448,0.067212,0.025224,0.325552,18.395534
2021H1,10005,苗栗,6211,0,臺中/苗栗,1937,1618,0.0,0.200584,0.063075,0.049029,0.058821,0.019612,0.434729,17.836071
2021H1,10002,宜蘭,13364,1,新北/宜蘭,1820,2935,0.145238,0.192669,0.065229,0.081665,0.054286,0.024643,0.398843,17.813212
2021H1,63000,臺北,2964,1,新北/宜蘭,1777,2722,0.0,0.203932,0.064526,0.09971,0.052193,0.021233,0.463415,17.73405
2021H1,10008,南投,5858,0,臺中/苗栗,1137,1998,0.0,0.112018,0.044155,0.048903,0.030529,0.018377,0.430298,17.620226
2021H1,10015,花蓮,2702,1,新北/宜蘭,879,1964,0.0,0.093719,0.033857,0.051391,0.027912,0.018055,0.409799,17.388328
2021H1,64000,高雄,1456,0,臺中/苗栗,828,555,0.0,0.082141,0.035328,0.015328,0.024029,0.011763,0.365544,17.397686
2021H1,10018,新竹市,1337,2,桃園/新竹縣,783,2986,0.033333,0.119681,0.031586,0.213737,0.026502,0.013662,0.786805,17.615331
2021H1,67000,臺南,693,0,臺中/苗栗,400,228,0.0,0.041341,0.019864,0.005828,0.01145,0.009056,0.364206,14.35252
2021H1,10017,基隆,671,1,新北/宜蘭,376,349,0.0,0.041075,0.01704,0.010855,0.012705,0.010479,0.437493,15.389226
2021H1,10014,臺東,535,1,新北/宜蘭,330,191,0.0,0.034945,0.016531,0.005082,0.010276,0.009088,0.389394,15.268388
2021H1,10013,屏東,489,0,臺中/苗栗,317,198,0.0,0.034206,0.016918,0.005839,0.009734,0.007869,0.386605,16.343358
2021H1,10007,彰化,523,0,臺中/苗栗,313,253,0.0,0.027919,0.015941,0.006059,0.008169,0.007702,0.413154,16.439746
2021H1,10009,雲林,311,0,臺中/苗栗,223,138,0.0,0.020479,0.013631,0.003982,0.006055,0.006702,0.377455,14.476828
2021H1,10010,嘉義縣,210,0,臺中/苗栗,186,87,0.047619,0.016676,0.013697,0.001969,0.004621,0.005415,0.340041,13.477284
2021H1,09020,金門,133,0,臺中/苗栗,122,10,0.0,0.01323,0.010613,0.000275,0.004078,0.00473,0.386164,12.618381
2021H1,10016,澎湖,89,0,臺中/苗栗,69,44,0.0,0.007525,0.008907,0.001298,0.002006,0.005289,0.386911,10.583335
2021H1,10020,嘉義市,89,0,臺中/苗栗,56,116,0.0,0.003907,0.00955,0.002483,0.0012,0.003875,0.348627,12.9735
2021H1,09007,連江,33,1,新北/宜蘭,33,5,0.0,0.0034,0.007649,0.000176,0.001073,0.004078,0.409353,8.64163
