Seq,DateListed,縣市別代碼,鄉鎮市區代碼,縣市,鄉鎮市區,村里,鄰,部落傳統名制_羅馬拼音,部落名稱,X座標,Y座標,定位點,緯度,經度,族別
332,"20220725","10015","10015050","花蓮縣","吉安鄉","福興村","1~22","Alang kiyumi","福興部落","306984.102","2651639.61","十字路口","23.96842","121.5599","太魯閣族"
333,"20220725","10015","10015050","花蓮縣","吉安鄉","福興村","1~22","Kungkung","大鼓部落","306984.102","2651639.61","十字路口","23.96842","121.5599","阿美族"
334,"20220725","10015","10015050","花蓮縣","吉安鄉","慶豐村","1~26","Ciripunan","慶豐部落","307664.157","2652745.255","吉安郵局","23.97838","121.5667","阿美族"
335,"20220725","10015","10015050","花蓮縣","吉安鄉","慶豐村","1~26","Alang miyamay","慶豐部落","307664.157","2652745.255","吉安郵局","23.97838","121.5667","太魯閣族"
336,"20220725","10015","10015060","花蓮縣","壽豐鄉","壽豐村","1~22","Ciamengan","壽豐部落","301733.216","2640753.097","壽豐國小","23.87031","121.508","阿美族"
337,"20220725","10015","10015060","花蓮縣","壽豐鄉","溪口村","1~17","Kiku","溪口部落","298187.825","2635115.129","溪口國小","23.81951","121.473","阿美族"
338,"20220725","10015","10015060","花蓮縣","壽豐鄉","池南村","1~20","Banaw","池南部落","301521.683","2646338.716","池南派出所","23.92074","121.5061","阿美族"
339,"20220725","10015","10015060","花蓮縣","壽豐鄉","光榮村","1~14","Rinahem","光榮部落","302616.136","2641994.391","卡娃斯運動場","23.88148","121.5167","阿美族"
340,"20220725","10015","10015060","花蓮縣","壽豐鄉","水璉村","1~26","Ciwidiyan","水璉部落","307458.186","2631057.334","水璉國小","23.78256","121.5638","阿美族"
341,"20220725","10015","10015060","花蓮縣","壽豐鄉","豐坪村","1~15","Telu’","豐坪部落","302393.494","2637474.445","台鐵安豐站","23.84068","121.5143","阿美族"
342,"20220725","10015","10015060","花蓮縣","壽豐鄉","豐山村","1~29","Cealalupalantdlu","豐山部落","300089.948","2638108.916","豐山國小","23.84648","121.4917","阿美族"
343,"20220725","10015","10015060","花蓮縣","壽豐鄉","豐裡村","1~12","Tdlu","豐裡部落","301718.49","2637581.253","豐里國小","23.84167","121.5077","阿美族"
344,"20220725","10015","10015060","花蓮縣","壽豐鄉","平和村","1~25","Adetuman","平和部落","302828.744","2642425.016","平和國中","23.88537","121.5188","阿美族"
345,"20220725","10015","10015060","花蓮縣","壽豐鄉","共和村","1~11","Sawanengan","共和部落","303470.159","2640694.728","門諾醫院","23.86972","121.525","阿美族"
346,"20220725","10015","10015060","花蓮縣","壽豐鄉","樹湖村","1~10","Taukak","樹湖部落","298809.685","2636949.03","十字路口","23.83605","121.4791","阿美族"
347,"20220725","10015","10015060","花蓮縣","壽豐鄉","志學村","1~24","Cihak","志學部落","304610.345","2644458.152","東華大學","23.90367","121.5363","阿美族"
348,"20220725","10015","10015060","花蓮縣","壽豐鄉","米棧村","1~8","Cipuypuyan","米棧部落","302426.642","2630402.317","米棧村衛生室","23.77682","121.5144","阿美族"
349,"20220725","10015","10015060","花蓮縣","壽豐鄉","鹽寮村","1~10","Tumay","鹽寮部落","310918.178","2640786","吉安分局鹽寮派出所","23.87028","121.5981","阿美族"
350,"20220725","10015","10015060","花蓮縣","壽豐鄉","月眉村","1~6、18","Sililasay","月眉（上部落）","305801.589","2639645.447","十字路口","23.86017","121.5479","阿美族"
351,"20220725","10015","10015060","花蓮縣","壽豐鄉","月眉村","7~17","Siapaluway","月眉（中部落）","306685.663","2640552.13","月眉國小","23.86833","121.5566","阿美族"
352,"20220725","10015","10015020","花蓮縣","鳳林鎮","山興里","3~10","Cirakayan","山興部落","300842.051","2624814.163","鳳林分局山興派出所","23.72642","121.4987","阿美族"
353,"20220725","10015","10015020","花蓮縣","鳳林鎮","山興里","11~15","Cihafayan","中興部落","301074.95","2628988.848","中興國小","23.7641","121.5011","阿美族"
354,"20220725","10015","10015020","花蓮縣","鳳林鎮","大榮里","1、12","Sariwsiw","大榮部落","297515.9","2627181.152","復興路","23.74789","121.4661","阿美族"
355,"20220725","10015","10015020","花蓮縣","鳳林鎮","長橋里","3、12","Tangahang","長橋部落","292641.344","2622864.11","長安路","23.70905","121.4182","阿美族"
356,"20220725","10015","10015020","花蓮縣","鳳林鎮","鳳信里","~3、6~1","Cingaroan","鳳信部落","295302.843","2625219.781","鳳信國小","23.73024","121.4443","阿美族"
357,"20220725","10015","10015020","花蓮縣","鳳林鎮","森榮里","1~14","Cilo'ohay","森榮部落","290932.752","2623913.946","林田山文化園區","23.71856","121.4014","阿美族"
358,"20220725","10015","10015080","花蓮縣","豐濱鄉","港口村","1~3","Tida'an","石梯坪部落","301722.273","2598876.689","石梯漁港","23.49218","121.5064","阿美族"
359,"20220725","10015","10015080","花蓮縣","豐濱鄉","港口村","4~8","Makotaay","港口部落","301518.743","2596913.349","港口村活動中心","23.47446","121.5043","阿美族"
360,"20220725","10015","10015080","花蓮縣","豐濱鄉","港口村","9~10","Laeno","大港口部落","301367.463","2596571.23","港口國小","23.47137","121.5028","阿美族"
361,"20220725","10015","10015080","花蓮縣","豐濱鄉","豐濱村","1~12、17、29~31","Fakong","豐濱部落","303165.911","2610626.09","豐濱國小","23.59823","121.5209","阿美族"
362,"20220725","10015","10015080","花蓮縣","豐濱鄉","豐濱村","14~16","Haciliwan","八里灣部落","299710.417","2607246.969","三岔路口","23.56774","121.487","阿美族"
363,"20220725","10015","10015080","花蓮縣","豐濱鄉","豐濱村","18-20","Kodic","立德部落","302919.428","2607189.48","十字路口","23.5672","121.5184","噶瑪蘭族"
364,"20220725","10015","10015080","花蓮縣","豐濱鄉","豐濱村","21~28","Tingalaw","豐富部落","301857.194","2611565.175","十字路口","23.60675","121.5082","阿美族"
365,"20220725","10015","10015080","花蓮縣","豐濱鄉","靜浦村","1~3、10","Tisilan","靜安部落","300662.057","2593559.3","靜浦國小","23.44412","121.4958","阿美族"
366,"20220725","10015","10015080","花蓮縣","豐濱鄉","靜浦村","4~8","Cawi","靜浦部落","300903.301","2595184.154","十字路口","23.45886","121.4983","阿美族"
367,"20220725","10015","10015080","花蓮縣","豐濱鄉","靜浦村","9","Tafugan","三富橋部落","300614.434","2595472.667","十字路口","23.46139","121.4954","阿美族"
368,"20220725","10015","10015080","花蓮縣","豐濱鄉","新社村","1~2、4~5","Paterungan","新社部落","304633.723","2616584.224","新社國小","23.65198","121.5355","噶瑪蘭族"
369,"20220725","10015","10015080","花蓮縣","豐濱鄉","新社村","3、14","Dipit","復興部落","304450.11","2617694.582","三岔橋頭","23.66201","121.5338","阿美族"
370,"20220725","10015","10015080","花蓮縣","豐濱鄉","新社村","6~12","Malaloong","東興部落","304633.723","2616584.224","新社國小","23.65198","121.5355","阿美族"
371,"20220725","10015","10015080","花蓮縣","豐濱鄉","磯崎村","1","Culiu","高山部落","305763.466","2620133.568","花東海濱公路","23.68399","121.5468","布農族"
372,"20220725","10015","10015080","花蓮縣","豐濱鄉","磯崎村","2~10","Kaluluwan","磯崎部落","306074.21","2621930.058","磯崎海濱遊憩區","23.7002","121.5499","撒奇萊雅族"
373,"20220725","10015","10015090","花蓮縣","瑞穗鄉","富民村","1~4、18~20","Morocan","牧魯棧部落","287597.583","2608080.325","民有一街","23.57568","121.3683","阿美族"
374,"20220725","10015","10015090","花蓮縣","瑞穗鄉","富民村","5~10","Atolan","阿多瀾部落","288167.753","2607554.984","中正路一段","23.57091","121.3739","阿美族"
375,"20220725","10015","10015090","花蓮縣","瑞穗鄉","富民村","11~17","Langas","拉加善部落","288226.271","2607064","中正路一段","23.56649","121.3745","阿美族"
376,"20220725","10015","10015090","花蓮縣","瑞穗鄉","富興村","2~5、12~15","Lacihakan","拉基禾幹部落","289544.664","2608790.261","東興路","23.58204","121.3874","阿美族"
377,"20220725","10015","10015090","花蓮縣","瑞穗鄉","富源村","1、3、4、6、9~10、12~15","Cirocan","鶺櫓棧部落","288330.913","2608426.76","富源國小","23.57878","121.3755","阿美族"
378,"20220725","10015","10015090","花蓮縣","瑞穗鄉","瑞祥村","2~15","Koyo","溫泉部落","285543.075","2599064.419","十字路口","23.49431","121.348","阿美族"
379,"20220725","10015","10015090","花蓮縣","瑞穗鄉","瑞穗村","1~9、14~21","Ukang","烏槓部落","288209.508","2599482.612","瑞穗國小","23.49802","121.3741","阿美族"
380,"20220725","10015","10015090","花蓮縣","瑞穗鄉","瑞美村","1~20","Narowan","娜魯灣部落","289905.597","2598960.443","瑞美國小","23.49327","121.3907","阿美族"
381,"20220725","10015","10015090","花蓮縣","瑞穗鄉","瑞良村","5~10","Fanaw","法淖部落","290201.482","2598645.313","和平路","23.49042","121.3936","阿美族"
382,"20220725","10015","10015090","花蓮縣","瑞穗鄉","瑞北村","1~8","Marorok","馬聚集部落","288455.804","2601420.577","中油美得瑞里加油站","23.51552","121.3766","阿美族"
383,"20220725","10015","10015090","花蓮縣","瑞穗鄉","舞鶴村","1~3、13~14","Sapat","掃叭頂部落","285965.758","2595149.013","舞鶴國小","23.45895","121.352","阿美族"
384,"20220725","10015","10015090","花蓮縣","瑞穗鄉","舞鶴村","4~6、15","Maifor","馬立雲部落","286427.851","2596815.306","馬立雲路","23.47398","121.3566","撒奇萊雅族"
385,"20220725","10015","10015090","花蓮縣","瑞穗鄉","舞鶴村","7~11","Kalala","迦納納部落","287259.309","2595840.477","三岔路口","23.46516","121.3647","阿美族"
386,"20220725","10015","10015090","花蓮縣","瑞穗鄉","鶴岡村","4、8、11~16","Olalip","屋拉力部落","289952.235","2600684.928","興鶴路一段","23.50883","121.3912","阿美族"
387,"20220725","10015","10015090","花蓮縣","瑞穗鄉","鶴岡村","17~20、24、26~27","Olaw","梧繞部落","289869.186","2602317.773","鶴岡國小","23.52358","121.3904","阿美族"
388,"20220725","10015","10015090","花蓮縣","瑞穗鄉","奇美村","1~7","Kiwit","奇美部落","295513.557","2599398.292","奇美國小","23.49708","121.4456","阿美族"
389,"20220725","10015","10015030","花蓮縣","玉里鎮","樂合里","6~8","Angcoh","安通部落","284520.77","2576923.445","松年大學玉里學校","23.29439","121.3375","阿美族"
390,"20220725","10015","10015030","花蓮縣","玉里鎮","樂合里","11~16","Harawan","哈拉灣部落","284974.843","2579626.563","玉里分局樂合派出所","23.31879","121.342","阿美族"
391,"20220725","10015","10015030","花蓮縣","玉里鎮","樂合里","19~20","Namisan","拿彌散部落","287521.813","2580412.87","公路","23.32583","121.3669","阿美族"
392,"20220725","10015","10015030","花蓮縣","玉里鎮","東豐里","5~7","Afih","阿飛赫部落","285189.554","2582623.866","樂德公路","23.34585","121.3441","阿美族"
393,"20220725","10015","10015030","花蓮縣","玉里鎮","德武里","1~9","Lingacay","苓雅仔部落","291434.411","2595934.662","德武國小","23.4659","121.4056","阿美族"
394,"20220725","10015","10015030","花蓮縣","玉里鎮","德武里","10~14","Satefo","下德武部落","291187.075","2596923.954","樂德公路","23.47484","121.4032","阿美族"
395,"20220725","10015","10015030","花蓮縣","玉里鎮","春日里","1~7","Matadim","馬太林部落","290157.699","2594395.819","春日國小","23.45204","121.393","阿美族"
396,"20220725","10015","10015030","花蓮縣","玉里鎮","春日里","8~19","Ceroh","春日部落","290488.69","2594723.129","玉里分局春日派出所","23.45499","121.3963","阿美族"
397,"20220725","10015","10015030","花蓮縣","玉里鎮","觀音里","1~14","Patawlinan","巴島力安部落","286702.592","2586735.393","高寮國小","23.38295","121.359","阿美族"
398,"20220725","10015","10015030","花蓮縣","玉里鎮","觀音里","20~23","Tokar","都旮薾部落","288780.097","2592624.95","樂德公路","23.39923","121.3603","阿美族"
399,"20220725","10015","10015030","花蓮縣","玉里鎮","松浦里","1~7","Makotaay","瑪谷達璦部落","287882.589","2590530.604","玉東國中","23.41719","121.3707","阿美族"
400,"20220725","10015","10015030","花蓮縣","玉里鎮","松浦里","8~14","Mangcelan","滿自然部落","288162.633","2591800.621","松浦國小","23.42865","121.3735","阿美族"
401,"20220725","10015","10015030","花蓮縣","玉里鎮","松浦里","15~25","Lohok","洛合谷部落","288780.097","2592256.055","樂德公路","23.43276","121.3795","阿美族"
402,"20220725","10015","10015030","花蓮縣","玉里鎮","大禹里","9~21","Sedeng","瑟冷部落","283417.495","2586457.944","台鐵大禹站","23.38051","121.3269","阿美族"
403,"20220725","10015","10015030","花蓮縣","玉里鎮","永昌里","7","Posko","璞石閣部落","282396.126","2582256.055","台水九區處玉里營運所","23.3426","121.3168","阿美族"
404,"20220725","10015","10015030","花蓮縣","玉里鎮","源城里","11~23","Silangkong","喜瑯宮部落","281261.551","2580961.468","西邊街","23.33092","121.3057","阿美族"
405,"20220725","10015","10015030","花蓮縣","玉里鎮","長良里","2~14","Cihakay","吉哈蓋部落","279263.742","2575819.041","長良國小","23.28453","121.2861","阿美族"
406,"20220725","10015","10015030","花蓮縣","玉里鎮","泰昌里","9~13、20","Cilakesay","吉拉格賽部落","282079.104","2581607.613","玉里分局玉里派出所","23.33674","121.3137","阿美族"
407,"20220725","10015","10015030","花蓮縣","玉里鎮","中城里","1、2、6、11、12、16","Cinemnemay","吉能能麥部落","282466.522","2580298.508","中城國小","23.32491","121.3175","阿美族"
408,"20220725","10015","10015030","花蓮縣","玉里鎮","三民里","8~13","Takay","達蓋部落","285608.798","2591931.908","三民國小","23.4299","121.3485","阿美族"
409,"20220725","10015","10015070","花蓮縣","光復鄉","東富 村、西富村、南富 村、北富村","東富村 1~10、西富村 1~8、南富村 1~7、北富村1~14","Tafalong","太巴塱部落","295739.345","2617452.354","太巴塱國小","23.66009","121.4484","阿美族"
410,"20220725","10015","10015070","花蓮縣","光復鄉","大平 村、大馬村、大華 村、大同村","大平村 1~16大馬村 1~23大華村 1~17大同村1~14","Fata’ an","馬太鞍部落","293371.369","2618653.634","光復國中","23.671","121.4252","阿美族"
411,"20220725","10015","10015070","花蓮縣","光復鄉","大全村","1~8","Laso‘ay","拉索艾部落","291747.977","2617159.368","大全街","23.65756","121.4092","阿美族"
412,"20220725","10015","10015070","花蓮縣","光復鄉","西富村","10~14","Fahol","馬佛部落","293895.348","2614815.658","西富國小","23.63633","121.4302","阿美族"
413,"20220725","10015","10015070","花蓮縣","光復鄉","西富村","17","Alolong","阿囉隆部落","294349.053","2613834.588","廣場","23.62738","121.4347","阿美族"
414,"20220725","10015","10015070","花蓮縣","光復鄉","南富村","8~12","Sado","砂荖部落","296024.406","2615438.314","沙老遊客服務中心","23.64182","121.4511","阿美族"
415,"20220725","10015","10015070","花蓮縣","光復鄉","東富村","12~16","Atomo","阿陶模部落","298128.501","2618283.635","阿陶模衛生室","23.66745","121.4718","阿美族"
416,"20220725","10015","10015070","花蓮縣","光復鄉","東富村","17~21","Kalotong","加里洞部落","299019.016","2620129.276","東富路","23.68409","121.4806","阿美族"
417,"20220725","10015","10015070","花蓮縣","光復鄉","大興村","1~10","O kakay","烏卡蓋部落","290625.017","2614362.132","大興國小","23.63225","121.3982","阿美族"
418,"20220725","10015","10015130","花蓮縣","卓溪鄉","古風村","1~9","Izukan","崙天部落","277076.742","2568632.376","古風國小","23.21958","121.2646","布農族"
419,"20220725","10015","10015130","花蓮縣","卓溪鄉","古風村","10~11","Siulang","秀巒部落","274625.979","2567601.495","三岔路口","23.21031","121.2406","布農族"
420,"20220725","10015","10015130","花蓮縣","卓溪鄉","古風村","12~16","Hunhungaz","古楓部落","277830.748","2571302.743","卓楓國小","23.24368","121.272","布農族"
421,"20220725","10015","10015130","花蓮縣","卓溪鄉","古風村","17~21","Silupatun","白端部落","277986.933","2572138.057","三岔路口","23.25123","121.2735","布農族"
422,"20220725","10015","10015130","花蓮縣","卓溪鄉","古風村","22~26","Sikihiki","石平部落","274199.037","2564081.852","卓富公路","23.17853","121.2364","布農族"
423,"20220725","10015","10015130","花蓮縣","卓溪鄉","太平村","1~7","Tavila","太平部落","282773.481","2589264.549","太平國小","23.40579","121.3207","布農族"
424,"20220725","10015","10015130","花蓮縣","卓溪鄉","太平村","8~11","Nakahila","中平部落","282002.22","2588001.267","玉里分局中平派出所","23.3944","121.3131","布農族"
425,"20220725","10015","10015130","花蓮縣","卓溪鄉","太平村","12~14","Valau","中興部落","280595.295","2587374.407","十字路口","23.38877","121.2993","布農族"
426,"20220725","10015","10015130","花蓮縣","卓溪鄉","崙山村","1~13","Dauqpusan","崙山部落","285167.683","2592881.915","崙山國小","23.4384","121.3442","布農族"
427,"20220725","10015","10015130","花蓮縣","卓溪鄉","卓清村","1~8","Saiku","清水部落","277920.658","2575093.79","卓清國小","23.27792","121.2729","布農族"
428,"20220725","10015","10015130","花蓮縣","卓溪鄉","卓清村","9~10","Lamuan","南安部落","276503.857","2578185.162","石山警察隊南安小隊","23.30586","121.2591","布農族"
429,"20220725","10015","10015130","花蓮縣","卓溪鄉","卓清村","11~20","Taluk","卓樂部落","277354.703","2577073.895","卓樂國小","23.2958","121.2674","布農族"
430,"20220725","10015","10015130","花蓮縣","卓溪鄉","立山村","1~8","Swasal","古村部落","283997.935","2592736.966","花66鄉道","23.43712","121.3327","太魯閣族"
431,"20220725","10015","10015130","花蓮縣","卓溪鄉","立山村","9~10","Bgurah branaw","三笠山部落","282782.524","2592041.805","立山國小","23.43087","121.3208","太魯閣族"
432,"20220725","10015","10015130","花蓮縣","卓溪鄉","立山村","11~19","Tausa","山里部落","281952.956","2591900.475","玉里分局立山派出所","23.42961","121.3127","賽德克族"
433,"20220725","10015","10015130","花蓮縣","卓溪鄉","卓溪村","1~7","Sinkam","中正部落","281012.283","2582605.457","卓溪國小","23.34569","121.3033","布農族"
434,"20240725","10015","10015130","花蓮縣","卓溪鄉","卓溪村","8~14","Panital","卓溪部落","279916.41","2582793.263","花70縣道","23.34741","121.2926","布農族"
435,"20241211","10015","10015100","花蓮縣","富里鄉","豐南村","5~24","Cilamitay","吉拉米代部落","277725.538","2560057.905","富東公路","23.14214","121.2707","阿美族"
436,"20220725","10015","10015100","花蓮縣","富里鄉","新興村","15~17","Talampo","達蘭埠部落","279081.877","2569359.457","三岔路口","23.22612","121.2842","阿美族"
437,"20220725","10015","10015100","花蓮縣","富里鄉","萬寧村","5、13","Monating","姆拉丁部落","280285.686","2572342.82","衛福部玉里醫院萬寧院區","23.25303","121.296","阿美族"
438,"20220725","10015","10015100","花蓮縣","富里鄉","東里村","30","Cirakesay","基拉歌賽部落","280736.503","2573056.234","十字路口","23.25947","121.3004","阿美族"
439,"20220725","10015","10015100","花蓮縣","富里鄉","吳江村","1、14~1","Pacuya","巴族耶部落","284563.296","2574799.857","花74鄉道","23.27513","121.3378","阿美族"
440,"20220725","10015","10015100","花蓮縣","富里鄉","吳江村","19~21","Ancoh","安住部落","284096.114","2577254.775","玉長公路","23.29731","121.3333","阿美族"
441,"20220725","10015","10015100","花蓮縣","富里鄉","學田村","6~9","Maliwang","馬里旺部落","273241.584","2561480.289","學田國小","23.15506","121.227","阿美族"
442,"20220725","10015","10015100","花蓮縣","富里鄉","富南村","10~14","Lupo","露埔部落","274340.358","2559497.519","富南路","23.13713","121.2377","阿美族"
443,"20220725","10015","10015100","花蓮縣","富里鄉","竹田村","25","Cihalaay","黑暗部落","281801.793","2568915.614","三岔路口","23.22206","121.3107","阿美族"
444,"20220725","10014","10014010","臺東縣","臺東市","豐谷里","1~16","Matang","馬當部落","263530.598","2515716.864","豐谷北路","22.74197","121.1317","阿美族"
445,"20220725","10014","10014010","臺東縣","臺東市","豐谷里","17~22","Apapuro","高坡部落","262968.918","2515337.212","中華路二段","22.73854","121.1263","阿美族"
446,"20220725","10014","10014010","臺東縣","臺東市","富岡里","1~4","Pasawali","巴沙哇力部落","262747.594","2517439.887","花東海岸公路","22.75753","121.1241","阿美族"
447,"20220725","10014","10014010","臺東縣","臺東市","富岡里","20~25","Karoroan","加路蘭部落","269895.982","2521722.492","富岡國小","22.79614","121.1938","阿美族"
448,"20220725","10014","10014010","臺東縣","臺東市","新園里","1~3","Kalaluran","卡拉魯然部落","256756.605","2517978.56","新園路","22.76243","121.0658","排灣族"
449,"20220725","10014","10014010","臺東縣","臺東市","新園里","15~18","Pakurung","巴古崙部落","255307.796","2517540.614","青海路一段","22.75848","121.0517","阿美族"
450,"20220725","10014","10014010","臺東縣","臺東市","南榮里","7~14","Fukid","新馬蘭部落","263905.011","2519162.841","青島街","22.77309","121.1354","阿美族"
451,"20220725","10014","10014010","臺東縣","臺東市","南榮里","18~26","Pongodan","大橋部落","263232.275","2520917.055","台東棒球村第一棒球場","22.78893","121.1289","阿美族"
452,"20220725","10014","10014010","臺東縣","臺東市","中心里","1~32","Falangaw","馬蘭部落","264183.564","2518044.327","長安街","22.76298","121.1381","阿美族"
453,"20220725","10014","10014010","臺東縣","臺東市","豐年里","1~19","Asiroay","阿西路愛部落","261455.659","2519064.66","豐年國小","22.77222","121.1116","阿美族"
454,"20220725","10014","10014010","臺東縣","臺東市","豐里里","9~12","Alapanay","阿拉巴奈部落","262227.415","2515047.459","中華路三段208巷1弄","22.73593","121.119","阿美族"
455,"20220725","10014","10014010","臺東縣","臺東市","豐榮里、 豐谷里","15~28、3","Sihodingan","常德部落","264190.057","2516010.359","豐榮郵局","22.74461","121.1382","阿美族"
456,"20220725","10014","10014010","臺東縣","臺東市","四維里","3~8","Pusong","布頌部落","265767.785","2517814.885","台東女中","22.7609","121.1535","阿美族"
457,"20220725","10014","10014010","臺東縣","臺東市","永樂 里、豐樂里","3~13、1~16","Ining","伊濘部落","262747.594","2517439.887","台東專科學校","22.75753","121.1241","阿美族"
458,"20220725","10014","10014010","臺東縣","臺東市","知本里","1~23","Katatipul","卡地布部落","255570.808","2511698.617","知本國小","22.70572","121.0542","卑南族"
459,"20220725","10014","10014010","臺東縣","臺東市","建和里","1~33","Kasavakan","射馬干部落","255055.977","2512919.069","建和國小","22.71675","121.0492","卑南族"
460,"20220725","10014","10014010","臺東縣","臺東市","建農里","16~17","Siafulungay","建農部落","256273.796","2513354.83","雲南路326巷","22.72068","121.0611","阿美族"
461,"20220725","10014","10014010","臺東縣","臺東市","南王里","4~18","Puyuma","普悠瑪部落","261729.169","2520924.687","南王國小","22.78901","121.1142","卑南族"
462,"20220725","10014","10014010","臺東縣","臺東市","寶桑里","4~11","Papulu","巴布麓部落","265604.078","2518199.076","台東縣消防局","22.76437","121.152","卑南族"
463,"20220725","10014","10014010","臺東縣","臺東市","富豐里","8~15","Kakawasan","石山部落","266468.863","2520331.554","吉林路","22.78362","121.1604","阿美族"
464,"20220725","10014","10014040","臺東縣","卑南鄉","賓朗村","12～18","Pinaski","下賓朗部落","259539.535","2522880.3","台東分局卑南分駐所","22.80669","121.0929","卑南族"
465,"20220725","10014","10014040","臺東縣","卑南鄉","賓朗村","26","A’lripay","阿里擺部落","258919.503","2523658.082","頂永置聯絡道","22.81372","121.0869","卑南族"
466,"20220725","10014","10014040","臺東縣","卑南鄉","初鹿村","10～12、14、29","Ulivelivek","初鹿部落","259310.219","2528562.092","初鹿二街56巷","22.858","121.0907","卑南族"
467,"20220725","10014","10014040","臺東縣","卑南鄉","利嘉村","1～17","Likavung","利嘉部落","256435.941","2519574.06","利嘉國小","22.77684","121.0627","卑南族"
468,"20220725","10014","10014040","臺東縣","卑南鄉","利吉村","1～8","Dikidiki","利吉部落","263739.23","2524984.682","利吉村衛生室","22.82566","121.1339","阿美族"
469,"20220725","10014","10014040","臺東縣","卑南鄉","嘉豐村","1～3","Kalito'od","山里部落","264142.526","3628998.541","台鐵山里站","22.83982","121.1378","阿美族"
470,"20220725","10014","10014040","臺東縣","卑南鄉","富山村","12～16","Fudafudak","莿桐部落","269249.391","2526552.521","花東海岸公路","22.83977","121.1876","阿美族"
471,"20220725","10014","10014040","臺東縣","卑南鄉","東興村","1～21","Taromak","達魯瑪克部落","254425.034","2518251.252","大南國小","22.7649","121.0431","魯凱族"
472,"20220725","10014","10014040","臺東縣","卑南鄉","泰安村","1～20","Tamalakaw","大巴六九部落","257795.197","2521177.523","太平國小","22.79132","121.0759","卑南族"
473,"20220725","10014","10014040","臺東縣","卑南鄉","明峰村","4~11","Danadanaw","龍過脈部落","259686.412","2530325.212","龍過脈產業道路","22.87392","121.0944","卑南族"
474,"20220725","10014","10014080","臺東縣","長濱鄉","竹湖村","2~5","Mornos","永福部落","294210.192","2577164.445","十字路口","23.29634","121.4322","阿美族"
475,"20220725","10014","10014080","臺東縣","長濱鄉","竹湖村","15-20","Pakara'ac","巴卡拉阿茲部落","293227.767","2574830.416","十字路口","23.27529","121.4225","阿美族"
476,"20220725","10014","10014080","臺東縣","長濱鄉","三間村","1~5","Makrahay","真柄部落","296951.733","2582207.488","十字路口","23.3418","121.4592","阿美族"
477,"20220725","10014","10014080","臺東縣","長濱鄉","三間村","6~10","Sadipongan","三間屋部落","298439.251","2583959.673","三間國小","23.35758","121.4738","阿美族"
478,"20220725","10014","10014080","臺東縣","長濱鄉","三間村","11~13","Tapowaray或 Saranawan","大俱來部落","298310.284","2586460.224","大俱來部落圖書資訊站","23.38017","121.4726","阿美族"
479,"20220725","10014","10014080","臺東縣","長濱鄉","三間村","16~17","Cikadaan","南溪阿美部落","297122.982","2588767.157","十字路口","23.40103","121.4611","阿美族"
480,"20220725","10014","10014080","臺東縣","長濱鄉","三間村","19","Nadan","南溪布農部落","296883.49","2589297.405","南溪產業道路","23.40583","121.4587","布農族"
481,"20220725","10014","10014080","臺東縣","長濱鄉","長濱村","19~27","Ciwkangan","長光(石坑)部","297280.454","2580814.097","花東海岸公路","23.32921","121.4623","阿美族"
482,"20220725","10014","10014080","臺東縣","長濱鄉","寧埔村","3~5","Pasongan","八桑安部落","292760.655","2572367.466","花東海岸公路","23.25306","121.4179","阿美族"
483,"20220725","10014","10014080","臺東縣","長濱鄉","寧埔村","6~8","Kinanoka","僅那鹿角部落","292162.963","2571753.212","東14縣道","23.24753","121.412","阿美族"
484,"20220725","10014","10014080","臺東縣","長濱鄉","寧埔村","12~14","Cidatayay","烏石鼻部落","292331.973","2570320.962","花東海岸公路","23.23459","121.4137","阿美族"
485,"20220725","10014","10014080","臺東縣","長濱鄉","寧埔村","15~16","Ta’man","膽曼部落","292354.386","2569210.503","花東海岸公路","23.22457","121.4138","阿美族"
486,"20220725","10014","10014080","臺東縣","長濱鄉","寧埔村","17","Carapongay","?橋部落","291966.206","2568360.587","花東海岸公路","23.2169","121.41","阿美族"
487,"20220725","10014","10014080","臺東縣","長濱鄉","樟原村","7~9","Kolado't","樟原部落","299449.065","2590524.406","十字路口","23.41683","121.4839","阿美族"
488,"20220725","10014","10014080","臺東縣","長濱鄉","樟原村","10~11","Polo't","大峰峰部落","300235.492","2592372.155","花東海岸公路","23.43349","121.4916","阿美族"
489,"20220725","10014","10014050","臺東縣","鹿野鄉","鹿野村","3~5","Parayapay","和平部落","264394.757","2532300.918","和平路","22.89173","121.1403","阿美族"
490,"20220725","10014","10014050","臺東縣","鹿野鄉","永安村","1~2","Rekat","永昌部落","264206.552","2536535.399","永安路","22.92997","121.1385","阿美族"
491,"20220725","10014","10014050","臺東縣","鹿野鄉","永安村","10~15","Salinliw","山領榴部落","263160.303","2539224.497","中華路三段","22.95427","121.1283","阿美族"
492,"20220725","10014","10014050","臺東縣","鹿野鄉","瑞和村","1~4","Pakala’ac","瑞興部落","266070.191","2541438.6","瑞源國中","22.97423","121.1567","阿美族"
493,"20220725","10014","10014050","臺東縣","鹿野鄉","瑞和村","7","Pailasan","八伊拉善部落","267686.152","2541424.606","寶華路","22.97409","121.1725","阿美族"
494,"20220725","10014","10014050","臺東縣","鹿野鄉","瑞源村","1~13","Efong","瑞源部落","265950.061","2539617.801","瑞源國小","22.95779","121.1555","阿美族"
